,answer,author,question,topic
0,"You’re asking the exact same question I was asking myself about a year ago. I was working at the Apple Store and I wanted a change. I wanted to start building the tech I was servicing.
I started looking into Machine Learning (ML) and Artificial Intelligence (AI).
There’s so much going on in the field.
Every week it seems like Google or Facebook are releasing a new kind of AI to make things faster or improve our experience.
Don’t get me started on the number of self-driving car companies. This is a good thing though. I’m not a fan of driving and roads are dangerous.
Even with all this happening, there’s still yet to be an agreed definition of what exactly artificial intelligence is.
Some argue deep learning can be considered AI, others will say it’s not AI unless it passes the Turing Test.
This lack of definition really stunted my progress in the beginning. It was hard to learn something which had so many different definitions.
Enough with the definitions.
How did I get started?
My friends and I were building a web startup. It failed. We gave up due to a lack of meaning. But along the way, I was starting to hearing more and more about ML and AI.
“The computer learns the things for you?” I couldn’t believe it.
I stumbled across Udacity’s Deep Learning Nanodegree. A fun character called Siraj Raval was in one of the promo videos. His energy was contagious. Despite not meeting the basic requirements (I had never written a line of Python before), I signed up.
Three weeks before the course start date I emailed Udacity support asking what the refund policy was. I was scared I wouldn’t be able to complete the course.
I didn’t get a refund. I completed the course within the designated timeline. It was hard. Really hard at times. My first two projects were handed in four days late. But the excitement of being involved in one of the most important technologies in the world drove me forward.
Finishing the Deep Learning Nanodegree, I had guaranteed acceptance into either Udacity’s AI Nanodegree, Self-Driving Car Nanodegree or Robotics Nanodegree. All great options. I was a little lost. “Where do I go next?”
I needed a curriculum. I’d built a little foundation with the Deep Learning Nanodegree, now it was time to figure out where I’d head next.
My Self-Created AI Masters Degree[1]
I didn’t plan on going back to university anytime soon. I didn’t have $100,000 for a proper Masters Degree anyway.
So I did what I did in the beginning. Asked my mentor, Google, for help.
I’d jumped into deep learning without any prior knowledge of the field. Instead of climbing to the tip of the AI iceberg, a helicopter had dropped me off on the top.
After researching a bunch of courses, I put a list of which ones interested me the most in Trello.
Trello is my personal assistant/course coordinator.
I knew online courses had a high drop out rate. I wasn’t going to let myself be a part of this number. I had a mission.
To make myself accountable, I started sharing my learning journey online. I figured I could practice communicating what I learned plus find other people who were interested in the same things I was. My friends still think I’m an alien when I go on one of my AI escapades.
I made the Trello board public[2]and wrote a blog post about my endeavours.
The curriculum has changed slightly since I first wrote it but it’s still relevant and I visit the Trello board multiple times per week to track my progress.
Getting a job
I bought a plane ticket to the US with no return flight. I’d been studying for a year and I figured it was about time I started putting my skills into practice.
My plan was to rock up to the US and get hired.
Then Ashlee messaged me on LinkedIn, “Hey I’ve seen your posts and they’re really cool, I think you should meet Mike.”
I met Mike.
I told him my story of learning online, how I loved healthtech and my plans to go to the US.
“You may be better off staying here a year or so and seeing what you can find, I’ think you’d love to meet Cameron.”
I met Cameron.
We had a similar chat what Mike and I talked about. Health, tech, online learning, US.
“We’re working on some health problems, why don’t you come in on Thursday?”
Thursday came. I was nervous. But someone once told me being nervous is the same as being excited. I flipped to being excited.
I spent the day meeting the Max Kelsen team and the problems they were working on.
Two Thursday’s later, Nick, the CEO, Athon, lead machine learning engineer, and I went for coffee.
“How would you like to join the team?” Asked Nick.
“Sure.” I said.[3]
My US flight got pushed back a couple months, I’ve also got a return ticket.
Sharing your work
Learning online, I knew it was unconventional. All the roles I’d gone to apply for had Masters Degree requirements or at least some kind of technical degree.
I didn’t have either of these. But I did have the skills I’d gathered from a plethora of online courses.
Along the way, I was sharing my work online. My GitHub contained all the projects I’d done, my LinkedIn was stacked out and I’d practiced communicating what I learned through YouTube and articles on Medium.
I never handed in a resume for Max Kelsen. “We checked you out on LinkedIn and we were impressed.” My body of work was my resume.
Regardless if you’re learning online or through a Masters Degree, having a portfolio of what you’ve worked on is a great way to build skin in the game.
ML and AI skills are in demand but that doesn’t mean you don’t have to showcase them. Even the best product won’t sell without any shelf space.
Whether it be GitHub, Kaggle, LinkedIn or a blog, have somewhere where people can find you. Plus, having your own corner of the internet is great fun.
How do you start?
Where do you go to learn these skills? What courses are the best?
There’s no best answer. Everyone’s path will be different. Some people learn better with books, others learn better through videos.
What’s more important than how you start is why you start.
Start with why.
Why do you want to learn these skills?
Do you want to make money?
Do you want to build things?
Do you want to make a difference?
Again, no right reason. All are valid in their own way.
Start with why because having a why is more important than how. Having a why means when it gets hard and it will get hard, you’ve got something to turn to. Something to remind you why you started.
Got a why? Good. Time for some hard skills.
I can only recommend what I’ve tried.
I’ve completed courses from (in order):
Treehouse - Introduction to Python
Udacity - Deep Learning & AI Nanodegree
Coursera - Deep Learning by Andrew Ng
fast.ai - Part 1, soon to be Part 2
They’re all world class. I’m a visual learner. I learn better seeing things being done/explained to me on. So all of these courses reflect that.
If you’re an absolute beginner, start with some introductory Python courses and when you’re a bit more confident, move into data science, machine learning and AI.
How much math?
The highest level of math education I’ve had was in high school. The rest I’ve learned through Khan Academy as I’ve needed it.
There are many different opinions on how much math you need to know to get into machine learning and AI. I’ll share mine.
If you want to apply machine learning and AI techniques to a problem, you don’t necessarily need an in-depth understanding of the math to get a good result. Libraries such as TensorFlow and PyTorch allow someone with a bit of Python experience to build state of the art models whilst the math is taken care of behind the scenes.
If you’re looking to get deep into machine learning and AI research, through means of a PhD program or something similar, having an in-depth knowledge of the math is paramount.
In my case, I’m not looking to dive deep into the math and improve an algorithm’s performance by 10%. I’ll leave that to people smarter than me. Instead, I’m more than happy to use the libraries available to me and manipulate them to help solve problems as I see fit.
What does a machine learning engineer actually do?
What a machine engineer does in practice might not be what you think.
Despite the cover photos of many online articles, it doesn’t always involve working with robots that have red eyes.
Here are a few questions an ML engineer has to ask themselves daily.
Context - How can ML be used to help learn more about your problem?
Data - Do you need more data? What form does it need to be in? What do you do when data is missing?
Modeling - Which model should you use? Does it work too well on the data (overfitting)? Or why doesn’t it work very well (underfitting)?
Production - How can you take your model to production? Should it be an online model or should it be updated at time intervals?
Ongoing - What happens if your model breaks? How do you improve it with more data? Is there a better way of doing things?
I borrowed these from a great article by Rachel Thomas, one of the co-founders of fast.ai, she goes into more depth in the full text. [4]
For more, I made a video of what we usually get up to on Monday’s at Max Kelsen[5].
No set path
There’s no right or wrong way to get into ML or AI.
The beautiful thing about this field is we have access to some of the best technologies in the world, all we’ve got to do is learn how to use them.
You could begin by learning Python code.
You could begin by studying calculus and statistics.
You could begin by learning about the philosophy of decision making.
Machine learning and AI fascinates me because of this intersection of fields.
The more I learn about it, the more I realise there’s plenty more to learn. And this hypes me up.
Sometimes I get frustrated when my code doesn’t run. Or I don’t understand a concept. So I give up temporarily. I give up by letting myself walk away from the problem and take a nap. Or go for a walk. When I come back it feels like I’m looking at it with different eyes. The excitement comes back. I keep learning.
There’s so much happening in the field it can be daunting to get started. Too many options lead to no options. Ignore this.
Start wherever interests you most and follow it. If it leads to a dead end, great, you’ve figured out what you’re not interested in. Retrace your steps and take the other fork in the road instead.
Computers are smart but they still can’t learn on their own. They need your help.
Footnotes
[1] My Self-Created Artificial Intelligence Masters Degree
[2] Trello
[3] My first day as a MACHINE LEARNING Engineer | Learning Intelligence 32
[4] What do machine learning practitioners actually do?
[5] Max Kelsen | Big data. Big ideas
189.5k Views · View 5k Upvoters · View Sharers",Daniel Bourke,I want to learn Artificial Intelligence and Machine learning. Where can I start?,Artificial Intelligence
1,"Originally Answered: Andrew Ng: What triggered your desire to learn artificial intelligence?
I want us to build a better society using AI.
Just as the industrial revolution relieved humanity of a lot of physical drudgery (what would your life be like if you had to sew your own clothes?), in the future AI will relieve humanity of mental drudgery. For example, having autonomous cars means we will no longer have to waste 3 years of our lives driving. This will give us more time to spend with loved ones and to pursue more worthy goals!
I'd started implementing neural networks (now called ""deep learning"") when I was 16 years old. I was an intern at the National University of Singapore. What we did then was trivial compared to today's standards, but at the time I thought it was amazing that a few lines of code could cause a computer to learn!
Nerdy fun fact: Because the computers we were using were too slow for emacs, I learned vi, which still remains my preferred editor today.
Around that time, I also did an internship where I was an office assistant, and did a lot of photocopying. (Technically, I was the office assistant's assistant.) That's when I realized that smarter machine can help us do a lot of tasks, so that humans can do more intellectually challenging things.
In the next decade, AI will transform society. It will change what we do vs. what we get computers to do for us. Perhaps a few decades from now, there'll be a Quora post where someone asks ""what would your life be like if you had to drive your own car?"" 
151.5k Views · View 3.9k Upvoters · View Sharers",Andrew Ng,What triggered Andrew Ng's desire to learn artificial intelligence?,Artificial Intelligence
2,"The choice of a Gaussian can be justified by the principle of maximum entropy, which suggests that if the true distribution is unknown, one should use the distribution with the greatest entropy among those which satisfy whatever constraints we wish to impose. This essentially makes the fewest possible assumptions about the distribution, as the max entropy distribution is the least predictable.
Often the constraints we impose are matching moments. For example, if you have some data and can use it to estimate the mean and variance of your unknown distribution, you might seek the distribution with greatest entropy such that its mean and variance match your empirical mean and variance. Any guesses what this distribution turns out to be? Ding ding ding! It’s a Gaussian.
Another reason (which is not so much a theoretical justification as a practical motivation) is that Gaussian distributions have many nice algebraic properties, for example that the sum of independent Gaussians is Gaussian, and the marginal and conditional distributions of multivariate Gaussians are Gaussian. These properties sometimes allow us to derive closed form solutions for certain quantities, making them computable without resorting to approximations.
Another answer mentions the Central Limit Theorem. This provides justification if you believe your unknown distribution involves a sum/average of many independent (or weakly dependent) sources of error. This is approximately true in many natural scenarios but I imagine not the reason for choosing a Gaussian in all cases.
3.6k Views · View 55 Upvoters · View Sharers",Garrett Thomas,Why is it reasonable in Machine Learning (e.g. Generative Models in Deep Learning) to describe unknown distributions as Gaussian?,Artificial Intelligence
3,"Human extinction.
972 Views · View 100 Upvoters · Answer requested by
Darren Blackburn",David Seidman,What is the next big thing after AI?,Artificial Intelligence
4,"Randall closed his eyes.
The sun beamed high from above, dead center in the middle of the sky, with only a few meager clouds on the horizon. The front lawns of the suburbs graced the Earth, stretching outward for miles.
Every day, it seemed, the grass grew just a little bit taller. Some yards grew just a little more yellow. Some houses darkened as the weeks went on.
With time, the presence of a moving van seemed to change from an anomaly to a permanent fixture. A sign that shouted ‘foreclosure’. An ever-present ferryman, always prepared to move today’s family — some days, more than one— along with their belongings deep into the warm glow of the cities, into the comfort of affordable living, and away from the growing cold of the ‘burbs.
The ‘burbs. It all happened so suddenly for him. It certainly didn’t feel like years.
Every day, it seemed, another house’s lights were snuffed out. The ‘burbs; growing colder and colder and colder with every passing week, as the very Earth itself seemed to slowly extinguish. The cold and desolate suburbs, growing colder still, until its chill touched the edge of the city’s borders. It clawed away with an icy touch, clawing with desperation at the people held within the city’s vehement clutches, each huddled together en mass to stave off the chill. Hundreds of thousands huddled close together until every room in every skyscraper was filled beyond capacity. A warm glow of togetherness somehow remained intact, despite the threatening cold from the world outside.
He had memories of an automated food delivery truck being attacked. Hungry people gathering around, throwing wire traps, rocks, metal rods — until the wheels of the behemoth ground to a halt. Memories of police officers struggling to maintain order, as food was pulled out from its iron stomach. Packaged bread. Meats. Fruit. Fruit, damn it. Fresh and bright, like they were Christmas decorations.
Food autos stopped passing through the city soon after that. Eventually, without anybody wealthy enough or working enough to purchase their wares, food autos disappeared altogether.
He had memories of images on screens. Protests. Riots. People fighting for the privilege to live another day.
A fair deal of them took place in countries that didn’t so much need their citizens anymore. Citizens that couldn’t work couldn’t pay tax, and citizens that didn’t pay tax weren’t as valuable in the eyes of a starving government.
He had memories of posters and signs and megaphones and shouting in strange languages, all quickly giving way to automatic gunfire and a screaming that was universally recognized. Each one dispersing, fluttering away like leaves in the wind, save for those few limp bodies that remained face-down in the mud, alongside whoever had stubbornly remained with them.
He remembered the first time he found somebody unfortunate enough to be lying face-down in the ground. Right in the middle of the sidewalk. Not in a faraway another country seen only through a screen. No pulse. No breaths. He called out for help. For emergency services. For anything. The man’s remains were adorned with torn rags. His elbows were wide, his neck was thin, his rib-cage showed through the holes in his shirt. A human police officer arrived, but his body was wheeled away in an automated emergency vehicle.
He remembered the first time he saw such an individual alight in the nighttime. Nowhere safe to move his remains. Hospitals were either overcrowded or defunct by then. He remembered watching through the curtains as the kerosene was poured almost reverently over the still corpse. He remembered seeing the match strike, like a glowing star in the night sky, before it fell to the road. He remembered the plume of smoke floating up above the skyscrapers, as automated security robots formed a perimeter around the pragmatic cremation.
He remembered receiving messages from family and friends. Proclaiming their hopes to emigrate into a kinder world, somewhere in another country.
For whatever reason, he had chosen to stay.
Perhaps he had a sense of pride for his country. Growing up, he always heard of people running away after a particularly bad election, rather than choosing to stay and fight back. Whenever he had considered such an action, his mind always wandered back to the ballot; they’d need his vote in particular this next election, he always told himself.
Or perhaps he believed that it was simply inevitable, no matter where you went. Countries worldwide had begun to topple, one after the other. With the computers taking over, the unemployment rate rose and never stopped rising. With fewer people employed, fewer people consumed, until massive stockpiles of goods stood patiently waiting for nobody to buy them. The robots producing forevermore — diligent little workers that demanded only electricity to continue their maddening endeavor of adding to the endless growing pile.
Without taxpayer’s revenue, governments slowed to a halt. Fearing for their own stability, tariffs were enacted, degenerating trade. No matter where you went, Randall reasoned, you’d always be affected: there simply existed no majestic safe haven one could run to anymore.
He remembered sights of abandoned nations on the screen. It was always from the view of a drone’s camera eye, like a vulture over a dying beast. He watched as the skies blackened with smoke turned orange in the evening.
He remembered when events like these were only statistics. Some incomprehensible number rendered useless to the limitations of his mind.
It had always been just an incomprehensible statistic. Until the day came when he found himself living the statistic.
He remembered the screams and the sirens blaring and whistles shrieking.
Randall’s eyes shot open to the sound of his alarm clock’s shrill tone repeating over and over. His hand snapped over to slap the snooze button — he hadn’t meant to, he hated sleeping in, but it was the fastest way to turn it off.
He slowly pulled himself upright, legs hanging over the bed. His neck ached, and his heart was racing.
His eyes wandered around his lonely little home, across the pictures that adorned his walls, and finally out the window into his little world.
He stood up, placing his shaking hands on the window frame and gazed upon the land below. Just past the edge of the slums lay the patchy green and yellow suburbs, each house dark and empty, even in the early morning light. The occasional bird fluttered past. Just as frequently, the occasional drone.
He didn’t have nightmares very often, but his nightmares never changed.
He ought to be thankful, he reminded himself. Even if the nightmare doesn’t go away upon waking up, at least when you’re awake, there’s some chance of fighting it.
He hastily made his way to his cabinet to get dressed. Today was another big day full of appointments.
The I.E.B. Chronicles Chapter List: by Trevor Farrell
643 Views · View 24 Upvoters",Trevor Farrell,When will AI and automation take over 100% of all jobs?,Artificial Intelligence
5,"Using Neural Networks to accelerate circuit simulations.
For those who aren’t familiar, SPICE circuit simulation is basically a physics based method of modeling circuits, yielding (with good models), extremely accurate results, but at the cost of being painfully slow.
Enter RNNs. By using RNNs we can approximate these simulations and get a massive speedup. As an added bonus, the foundry’s proprietary transistor technology, which would otherwise be more vulnerable using conventional models, is stored in a “black box” RNN.
Of course, this comes with the downside of not being 100% accurate and you do have to stay within strict bounds to get anything decent and you also eventually have to run the “real” SPICE simulation to make sure what you’re taping out is actually correct and not a neural network’s hallucination. However, it’s still very useful for the designer to explore the design space without waiting forever for SPICE to finish.
1.4k Views · View 13 Upvoters · View Sharers · Answer requested by
Stewart Alsop",Tapa Ghosh,What is the most innovative use of a neural network that you have seen in 2018?,Artificial Intelligence
6,"Like this:
Please don’t tell my boss this. I still want to get paid and keep living.
TL;DR at the end. To start, let’s understand what those words mean.
When you ask “how do I code in […] artificial intelligence,” you’re talking about a really broad field. However, you don’t necessarily code in AI; rather, you code using a programming language (e.g., Python, C/C++, Java, R, JS). What you produce as a result of that can be considered AI (or “intelligence demonstrated by machines”).
With that out of the way, if you want to learn more about artificial intelligence (specifically machine learning), one great resource is Andrew Ng’s courses[1] (esp. the one on Coursera[2]). There’s also Artificial Intelligence: A Modern Approach by Peter Norvig and Stuart J. Russell[3] that explores more about AI in general—its ideas, concepts, and history.
If you want to try out machine learning, please consider use python, since it’ll be easier for you to learn the AI, ML, and/or DL concepts without having to struggle with the programming language itself. There are so many tutorials[4], online courses[5], books[6], and blogs[7] on how to start with machine learning. Even scikit-learn (ML library)[8] has tutorials[9] nowadays. You can even start learning more about machine learning by using some of the already implemented methods in scikit-learn; they even have examples!
Within machine learning, there’s supervised, unsupervised, and semi-supervised. Deep learning is a subset of machine learning that focuses on improving on improving learning…Okay. That may be a terrible explanation, but a lot of deep learning has to do with neural networks—artificial neural networks, recurrent neural networks, etc. Have you ever wanted to use a convolutional neural network to identify cats and dogs in photos?[10] No? Just me? OK. What about building a deep convolutional MNIST classifier[11], so you can maybe read your doctor’s writing?
At some point, you might want to know some more statistics, probability theory, linear algebra (esp. matrices), discrete math, etc., but you can study those things bit by bit as you encounter them. For statistics, you can try All of Statistics: A Concise Course in Statistical Inference by Larry Wasserman[12]. Other books include Machine Learning: A Probabilistic Perspective [13]by Kevin Murphy and Pattern Recognition and Machine Learning[14] by Christopher Bishop. At the end of the day, make sure you know the difference between baes and Bayes'[15].
One last thing, I wouldn’t say, “I code in machine learning.” It’s like saying “I compute in Geometry.” People will understand you, and they’ll look at you weird, esp. if they’re judgemental. I’ll let it slide this time since at one point I had thought neural networks were a bunch of if statements…and data science was just glorified stats. JK. About the first one.
Good Luck!
TL;DR
Roadmap for Machine Learning
Part 1: Why Machine Learning Matters. The big picture of artificial intelligence and machine learning — past, present, and future.
Part 2.1: Supervised Learning. Learning with an answer key. Introducing linear regression, loss functions, overfitting, and gradient descent.
Part 2.2: Supervised Learning II. Two methods of classification: logistic regression and SVMs.
Part 2.3: Supervised Learning III. Non-parametric learners: k-nearest neighbors, decision trees, random forests. Introducing cross-validation, hyperparameter tuning, and ensemble models.
Part 3: Unsupervised Learning. Clustering: k-means, hierarchical. Dimensionality reduction: principal components analysis (PCA), singular value decomposition (SVD).
Part 4: Neural Networks & Deep Learning. Why, where, and how deep learning works. Drawing inspiration from the brain. Convolutional neural networks (CNNs), recurrent neural networks (RNNs). Real-world applications.
Part 5: Reinforcement Learning. Exploration and exploitation. Markov decision processes. Q-learning, policy learning, and deep reinforcement learning. The value learning problem.
The above is from the Medium article Machine Learning for Humans by Vishal Maini. Just follow the roadmap. You’ll code in AI, ML, and DL in no time.
Disclaimer: results may vary.
Footnotes
[1] Courses - Andrew Ng
[2] Machine Learning | Coursera
[3] Artificial Intelligence: A Modern Approach
[4] ujjwalkarn/Machine-Learning-Tutorials
[5] Every single Machine Learning course on the internet, ranked by your reviews
[6] josephmisiti/awesome-machine-learning
[7] A Beginner’s Guide to AI/ML  – Machine Learning for Humans – Medium
[8] scikit-learn: machine learning in Python
[9] scikit-learn Tutorials
[10] Understanding deep Convolutional Neural Networks with a practical use-case in Tensorflow and Keras
[11] MNIST For ML Beginners  |  TensorFlow
[12] All of Statistics - A Concise Course in Statistical Inference | Larry Wasserman | Springer
[13] Machine learning textbook
[14] Pattern Recognition and Machine Learning | Christopher Bishop | Springer
[15] Bayesian probability - Wikipedia
50.7k Views · View 570 Upvoters · View Sharers",Peter Yuan,"How can I code in machine learning, artificial intelligence, and deep learning?",Artificial Intelligence
7,"Originally Answered: Is Deep Learning overhyped?
In many respects, it is. For sure, the recent successes of deep learning have been amazing: we went from being really terrible at supervised learning on perceptual problems (image classification, speech recognition) to being really good at it. Deep learning has been transformative for many subfields of machine learning. But here's the thing: lots of people, most of them not directly involved with deep learning research, tend to extrapolate too much from these recent successes. For instance, when we started achieving below 4% top-5 error on the ImageNet classification task, people started claiming that we had ""solved"" computer vision. We most certainly haven't solved computer vision at this point; it's still a tremendous challenge to generate accurate, precise descriptions of the contents of a picture or a video, or to get meaningful answers to basic visual queries (e.g. ""get me a close-up of the handbag of the second lady from the left""), things that humans take for granted. Our successes, which while significant are still very limited in scope, have fueled a narrative about AI being almost solved, a narrative according to which machines can now ""understand"" images or language. The reality is that we are very, very far away from that.
In the pitches of startups that are attempting to cash in on deep learning, I see a lot of grossly unrealistic expectations. Some of them are just naively over-optimistic, but some others are essentially living in a fictional universe —I've seen at least 3 different startups state that they would solve ""general artificial intelligence"" in the next few years. Best of luck to them. Most of these companies have no issue getting generously funded, but quite a few of them will find it very difficult to get a decent exit. A lot of disappointment will follow, especially among VCs and corporate decision makers, and unless this is counter-balanced by a larger wave of successful value-producing applications of deep learning, then we might witness a new AI winter in the future.
Overall: deep learning has made us really good at turning large datasets of perceptual inputs (images, sounds, videos) and simple human-annotated targets (e.g. the list of objects present in a picture) into models that can automatically map the inputs to the targets. That's great, and it has a ton a transformative practical applications. But it's still the only thing we can do really well. Let's not mistake this fairly narrow success in supervised learning for having ""solved"" machine perception, or machine intelligence in general. The things about intelligence that we don't understand still massively outnumber the things that we do understand, and while we are standing one step closer to general AI than we did ten years ago, it's only by a small increment.
197.8k Views · View 2k Upvoters · View Sharers · Answer requested by
Paul Balança,
Deepak Venkatesh, and 101 more",François Chollet,Is deep learning overhyped?,Artificial Intelligence
8,"The “classical” forms of deep learning include various combinations of feed-forward modules (often convolutional nets) and recurrent nets (sometimes with memory units, like LSTM or MemNN).
These models are limited in their ability to “reason”, i.e. to carry out long chains of inferences, or optimization procedure to arrive at an answer. The number of steps in a computation is limited by the number of layers in feed-forward nets, and by the length of time a recurrent net will remember things.
To enable deep learning systems to reason, we need to modify them so that they don’t produce a single output (say the interpretation of an image, the translation of a sentence, etc), but can produce a whole set of alternative outputs (e.g the various ways a sentence can be translated). This is what energy-based models are designed to do: give you a score for each possible configuration of the variables to be inferred. A particular instance of energy-based models is factor graphs (non-probabilistic graphical models). Combining learning systems with factor graphs is known as “structured prediction” in machine learning. There have been many proposals to combine neural nets and structured prediction in the past, going back to the early 1990s. In fact, the check reading system my colleague and I built at Bell Labs in the early 1990s used a form of structured prediction on top of convolutional nets that we called “Graph Transformer Networks”. There has been a number of recent works on sticking graphical models on top of ConvNets and training the whole thing end to end (e.g. for human body pose estimation and such).
For a review/tutorial on energy-based models and structured prediction on top of neural nets (or other models) see this paper: https://scholar.google.com/citat...
Deep learning is certainly limited in its current form, because almost all the successful applications of it use supervised learning with human-annotated data. We need to find ways to train large neural nets from “raw” non-annotated data so they capture the regularities of real world. As I said in a previous answer, my money is on adversarial training.
103.2k Views · View 874 Upvoters · View Sharers · Answer requested by 1135 people",Yann LeCun,What are the limits of deep learning?,Artificial Intelligence
9,"There are 6 types of positions at FAIR:
Research Scientist: you need a PhD, a couple years of experience in research (e.g. as a postdoc) and a good publication record. It’s a pretty high bar.
Research Engineer: you need a Master with some exposure to ML/AI in your previous studies or job. Most of these positions are relatively junior, but there are a few senior. About 25 to 30% of people at FAIR are research engineers.
Postdoc: it’s a 1 or 2 year limited-term research position, generally directly after your PhD.
PhD student: in our Paris lab, we can take a small number of PhD students under what’s called a CIFRE status. This is a special thing in France that allows PhD students to spend most of their time in an industry research lab, co-advised by a researcher in the company and a professor in a university.
Intern: we take summer interns, and sometimes interns during the academic year. Almost all of them are in PhD programs. In continental Europe where people do undergrad + 2 year Master + 3 year PhD, we take some interns between their Master and PhD.
Look here for a list of FAIR member and their backgrounds: Researchers
222.8k Views · View 1.2k Upvoters · View Sharers · Answer requested by
Gabriel Cypriano,
Jayant Raj, and 172 more",Yann LeCun,Is getting a masters or a PhD necessary to get into top AI/ML research groups like FAIR or DeepMind?,Artificial Intelligence
