,answer,author,question,topic
0,"Lots, actually.
Claire Jordan , Jean Lamb , Kaira Aitken , Elisa Rial , Amanda Claireston , Alex Forbes , Paul Johnson , Cyrilla Baer , Dina Alia , Peter James , Terri Heard , Yevgeniy (Eugene) Kizhner , Erin Shackleton , Vargová Enikő …
Most of them are not fans, actually. But all of them can think outside the box (have no time to mention you all, sorry!)
158 Views · View 17 Upvoters",Valeria Mesalina,Who is your favorite Severus Snape fan on Quora?,Harry Potter
1,"The Potters were extremely rich. They inherited the Peverell fortune and they consistently added to it over the years due to their many inventions and products; plus, various Families, such as the Fleamonts, married into them, thus making them even richer. And then there was the pièce de resistance of Fleamont Potter, Harry's paternal grandfather, starting up various companies, and amongst them was Sleekeazy's Hair Care and Scalp Treament, which quadrupled the Potter wealth before he sold the business, thus tripling the family fortune yet again. That substantial vault that Harry owned? Number 687? That was merely Harry's Trust Fund Vault. Harry had another, much bigger one deeper inside Gringotts.
Plus, everything that the Potters owned, they earned. They were honest businessmen and businesswomen. They did not do backroom deals. They did not buy, sell, or trade on the black market. They did not steal. They did deal Sith Dark artifacts or poisons. They did not cheat anybody out of their wealth. They did not break the law. The Malfoys, however, did so on a regular basis, as did the various other Dark families.
So you must ask yourself, did the Potters' honest and noble way of earning money allow them to outearn a selfish, greedy family like the Malfoys? Perhaps, perhaps not. However, the Potters, unlike the Malfoys, did not care about wealth and status. They gave freely to those who needed it more than they did and they did not rub their success into other people's faces. They also did not throw lavish parties or bribe Ministry officials into passing laws. So, thanks to the Malfoy's extremely lavish lifestyle, it could, very well, have all been balanced out.
However, Sirius Black died, and he left *EVERYTHING* he owned, including the *entire* Black fortune, to Harry. The Black family was the most notorious family in Wizarding Britain. They were rich enough to earn Order of Merlins through bribery. They owned several mansions. They were probably the most illustrious family out of all of the old, Dark, pureblood-espousing “Houses.” And like the Malfoys, the Blacks stole, they blackmarketed, they Muggle-baited, they manipulated, they connived, they lied. They were *not* honest businessmen. Their wealth *had* to have been, at the very least, comparable to the Malfoys. And Harry inherited it all.
So, to answer your question, harry is *definitely* the wealthiest. He has not just the entire Potter Family fortune, but also that of the Blacks. For that reason, he could very well be the richest person in Magical Britain and Ireland.
The Malfoy's, meanwhile, probbaly had their fortune decimated by Voldemort and the Ministry. If you don't think Voldemort had Lucius write the Wizarding equivalent of blank checks for him, think again. Those Snatchers, werewolves, and bounty hunters had to have been paid somehow and I doubt he made his favorite followers pay them. Also, do you really think that Kingsley Shacklebolt and the others would allow the Malfoy's to get away scott free? Nope. Not a chance.
So yes, Harry definitely comes out on top.
150.8k Views · View 2.8k Upvoters · View Sharers",Kevin Titus,Who was richer - Harry Potter or Draco Malfoy?,Harry Potter
2,"I’ve got three - as far as I see, none of them have been mentioned before.
1. The Trio’s names
Harry Potter = Otter
Ron Weasley = Weasel
Hermione Granger = Ermine
Ron is a pureblood, who shares the name Weasel with his whole family. Harry is a halfblood, who inherited the name Otter from his wizard father, but doesn’t share the name with his muggle relatives, the Dursleys. Hermione is a muggleborn, who got her animal in her first name, and doesn’t share it with her parents. The otter, the weasel and the ermine all belong in the same family, called mustelidae, which comes for the latin word for weasel. Both Harry and Hermione ends up marrying into the weasel family.
(Image source: Wikipedia)
2. Quidditch parallels the Battle of Hogwarts
There’s a big fight going on. People are scoring goals, trying to knock out their opponents and keeping their own players safe. But what really matters is one player on each team: the Seekers, or Harry and Voldemort. They never truly participate in this big fight. The Seekers are searching for the golden snitch, Harry’s searching for the last horcruxes, Voldemort’s searching for the Elder wand, and then waiting for Harry in the forest.
And Harry, with the unerring skill of the Seeker, caught the wand in his free hand as Voldemort fell backward, arms splayed, the slit pupils of the scarlet eyes rolling upward.
Harry and Voldemort, or the Seekers, are the only one who can beat each other, not because of destiny, but because of unwritten rules. The game only ends when one of the seekers beats the other - the Battle of Hogwarts ends immediately after Voldemort’s death - and unless the rest of the people on side have performed very badly compared to the other, their side will win.
3. The colors of their eyes
Red is the color of Voldemort’s eyes, Harry’s Hogwarts house (Gryffindor) and Harry’s signature spell (Expelliarmus).
Green is the color of Harry’s eyes, Voldemort’s Hogwarts house (Slytherin) and Voldemort’s signature spell (Avada Kedavra).
Red and Green are also opposite colors on the color wheel.
Of course, this is ruined by the movies, where both Harry and Voldemort have blue eyes.
79.5k Views · View 5k Upvoters · View Sharers",Viola Forkman,What's one thing that most people overlook in the Harry Potter books that you found really cool?,Harry Potter
3,"Taken as a whole, there’s only one thing that we all have in common.
Really, we are a very varied bunch. We don’t share an age, a reading style, a nationality, a gender, or a brain.
Some of us have read all the books and seen all the movies. Others have only seen the movies or only read some of the books or any combination of those two.
Our favourite character may be Harry, Hermione, Ron, Draco, Snape, Dumbledore, Fred, Ginny, George, Sirius, Remus, Dobby, or Luna. Or someone else entirely.
Our favourite book may be 1, 2, 3, 4, 5, 6, or 7.
We may find Hermione annoying, or Ron bratty, or Ginny under-written, or Harry weak, but then again we may feel the reverse is true.
Our favourite description of food may be the Christmas feast, the chocolate frogs, the pumpkin juice, the butterbeer, or Florean’s ice cream sundaes. Or something else entirely.
Our favourite House may be Gryffindor, Hufflepuff, Slytherin, or Ravenclaw.
We may love Snape and see him as a hero, or a bully, or both.
Our favourite teacher may be McGonagall, Snape, Dumbledore, Hooch, or Hagrid. Or someone else entirely.
If we’ve read or seen The Cursed Child, we may love it or loathe it or find it problematic but interesting.
Our favourite spell may be expelliarmus, Ginny’s bat bogey hex, riddikulus, or sectumsempra. Or something else entirely.
Our favourite game may be Gobstones, Wizarding Chess or Quidditch.
However, I would suggest that we all share one feeling:
We all hate Umbridge.
18.6k Views · View 2.2k Upvoters · View Sharers",Holly Root-Gutteridge,What's one thing that all Harry Potter lovers have in common?,Harry Potter
4,"It depends.
Not all Snape fans are annoying
Not all James fans are annoying
Not all Draco fans are annoying
Not all (insert character here) fans are annoying
Also, I feel like on a website such as Quora, where you can block/mute the person, being annoyed is a pointless endeavour. It won’t make them change their mind. If you do get annoyed, and you choose not to mute that person from your feed, and you keep complaining about how much they’re annoying you, everytime you see their “trash” answers, the problem is you, not them.
Basically people will cease to be annoying, when you silence them using the tools that Quora has given you. This is a basic concept a lot of people don’t seem to get.
Which is why I’ve stopped commenting on answers I find distateful. I mute them and I move on. I have no interest, nor want to waste my time, trying to convince someone to change their mind. The chances that I would change their mind, especially if they hate my fave, is unlikely. Why bother?
What I find ridiculous in this fandom in general is character comparison.
If someone said: Snape should be nice. I know it’s more difficult for him to be nice because of his GENES (Harry and Snape don’t have the same genes) and his ENVIRONMENT. But that doesn’t mean that he can’t be nice. It just means it would require more conscious effort from him.
^ I wouldn’t find that annoying.
If someone said: Snape should be nicer, because Harry was also abused and Harry was nice.
^I find that annoying. How can you even compare the two? Harry was:
well provided for from his parent’s, Snape was not.
Harry was admired by most of the wizarding world, Snape was not.
Harry was at worse average looking and at best good looking, Snape was not.
Harry has different genes to Snape.
If you’re going to call Snape out for not being nice, you can do it in general, without bringing Harry into it; or trying to play abuse olympics. Where all victims have to turn out the same way.
The thing is Snape being abused had an affect on his later personality. It’s ridiculous to say “Snape being abused had nothing to do with him not being nice, because Harry was nice. He was only mean because that’s just who he was as a person” is an ignorant argument.
Remember their circumstances weren’t exactly the same, and Snape being abused would affect him differently, because of different DNA.
If someone said: James was a much better person than Snape or Snape was a much better person than James.
^I would find that to be a matter of taste
If someone said:
James was a:
bully to a nazi who was equally aggressive to him
a prankster
saved the life of an enemy
provided for his friends
became an illegal animagus to support his friend
fought for a minority group
gave his life for his family
Then they say Snape was a:
Nazi
Who sent a killer after a baby
Who wanted James and Harry dead so he could have Lily all to himself
Who only saved lives because he was obsessed with Lily
Is that a fair comparison? Some of those statements are not canonically accurate. Of course you can personally interpret the story anyway you want, but usually when discussing the books we try to keep to objective canon, whilst making it clear that our interpretations are only interpretations, not fact.
There is no right or wrong way to interpret the story, if you want to believe Snape murdered people for the fun of it, then by all means do so. But if you’re going to compare two characters, at least make sure the ground rules of comparison for both characters are the same.
My ground rules for character comparison are: (using James and Snape as an example)
Ground rule 1: For all the bad the two characters did, if I seek “virtuous” reasons for Snape’s bad, then I will do the same for James. Because it’s not fair to provide virtuous reasons for one character and not the other. Virtuous in quotes, because it’s not necessarily virtuous, just less non-virtuous.
Example:
Snape called muggleborns mudblood out of self-defence (I am headcanoning Snape’s behaviour).
James hurt Snape out of revenge for trying to get his friends expelled, not leaving his vulnerable friend with an illness alone, and for calling muggleborns mudblood (also a headcanon).
^The point is it’s a fair comparison, becaue I am headcanoning “virtuous” reasons for both of them. I’m not giving one “virtuous” reasons and the other non-virtuous reasons.
Ground rule 2: If I give James non virtuous reasons for all his bad behaviour (where the text is silent, and readers are required to headcanon) then I must do the same for Snape.
Example:
Snape called muggleborns mudblood because he was a nasty blood prejudiced little cunt.
James bullied because he was an abusive piece of crap
^The point is it’s a fair comparison, because I’m headcanoning non-virtuous reasons for both of them. It’s also a fair comparison, because I’m insulting them both equally.
If I headcanoned all “virtuous” reasons for Snape’s bad behaviour, but headcanoned all non-virtuous reasons for James’ bad behaviour, how would that be fair?
Ground rule 3: If I don’t go into detail for James, then I don’t go into detail for Snape.
Example:
James was a:
bully - I’m not going into detail about the kind of bullying he did.
Snape was a:
bully - I’m not going into detail about the kind of bullying he did.
^this is fair, because I’m not going into detail for both of them.
It would be unfair if I said that James was a bully, but then I went into full detail about how Snape was a child’s worse fear, tried to poison his toad, shoved Harry to the floor etc.
Either I fully detail both their good and bad right down to the last detail or I summarize both their good and bad. It wouldn’t be fair if I fully detailed the bad of Snape but not James to make James look better or vice versa.
I don’t like character comparison because most fans don’t have any ground rules when they compare two characters (usually James and Snape or Regulus and Snape or Harry and Snape or Draco and Snape). Without ground rules they can unintentionally or intentionally come out with unfair comparisons.
482 Views · View 8 Upvoters",Kaira Aitken,"In the Harry Potter fandom, which character's fans are the most annoying?",Harry Potter
5,"I present to you one exchange, from book five, chapter one:
“Hey, Big D!”
Dudley turned.
“Oh,” he grunted. “It’s you.”
“How long have you been ‘Big D’ then?” said Harry.
“Shut it,” snarled Dudley, turning away again.
“Cool name,” said Harry, grinning and falling into step beside his cousin. “But you’ll always be Ickle Diddykins to me.”
“I said, SHUT IT!” said Dudley, whose ham-like hands had curled into fists.
“Don’t the boys know that’s what your mum calls you?”
“Shut your face.”
“You don’t tell her to shut her face. What about ‘popkin’ and ‘Dinky Diddydums,’ can I use them then?”
Dudley said nothing. The effort of keeping himself from hitting Harry seemed to be demanding all of his self-control.
“So who’ve you been beating up tonight?” Harry asked, his grin fading. “Another ten-year-old? I know you did Mark Evans two nights ago—”
“He was asking for it,” snarled Dudley.
“Oh yeah?”
“He cheeked me.”
“Yeah? Did he say you look like a pig that’s been taught to walk on its hind legs? ’Cause that’s not cheek, Dud, that’s true…”
[…]
“Think you’re a big man carrying that thing, don’t you?” Dudley said after a few seconds.
“What thing?”
“That— that thing you’re hiding.”
Harry grinned again.
“Not as stupid as you look, are you, Dud? But I s’pose if you were, you wouldn’t be able to walk and talk at the same time…”
Harry pulled out his wand. He saw Dudley look sideways at it.
“You’re not allowed,” Dudley said at once. “I know you’re not. You’d get expelled from that freak school you go to.”
“How d’you know they haven’t changed the rules, Big D?”
“They haven’t,” said Dudley, though he didn’t sound completely convinced. Harry laughed softly.
“You haven’t got the guts to take me on without that thing, have you?” Dudley snarled.
“Whereas you just need four mates behind you before you can beat up a ten-year-old. You know that boxing title you keep banging on about? How old was your opponent? Seven? Eight?”
“He was sixteen for your information,” snarled Dudley, “and he was out cold for twenty minutes after I’d finished with him and he was twice as heavy as you. You just wait till I tell Dad you had that thing out—”
“Running to Daddy now, are you? Is his ickle boxing champ frightened of nasty Harry’s wand?”
“Not this brave at night, are you?” sneered Dudley.
“This is night, Diddykins. That’s what we call it when it goes all dark like this.”
Savage.
1.8k Views · View 118 Upvoters · View Sharers",Sarah McLean,How was Harry Potter sassy?,Harry Potter
6,"What’s wrong with Ron? He was hilarious, I think Hermione would do well with a laid-back guy to help her relax more.
Ron had his weaknesses but I think his good moments overshadowed his bad ones. I mean, think about it. He was a pureblood. He could have easily hidden behind his pureblood status and not fight in the war at all. Unlike Harry and Hermione, Ron never had to participate in the war, yet he STILL chose to risk his life and the lives of his family members. That shows some amazing bravery and strength of character right there. I think that a lot of people overlook Ron’s sacrifices.
555 Views · View 48 Upvoters · View Sharers",Mairh Kouloglou,Why Hermione fall for poor and average Ron when she could chose better?,Harry Potter
7,"Ron haters will just say anything that comes to mind. In reality, there is more evidence that Hermione would be an abusive wife than that Ron would be an abusive husband. At least, Ron never physically assaulted Hermione, while Hermione physically assaulted him TWICE. (once with the birds in HBP and once in DH)
Of course, I am not saying that Hermione is generally abusive, I am just pointing it out to show how ridiculous the notion is that Ron would be an abusive husband.
812 Views · View 26 Upvoters",Mairh Kouloglou,"In Harry Potter, why do people think Ron would have been an abusive husband?",Harry Potter
8,"Ok, I would understand this question if it was asked about Sirius and Snape. I personally love both those characters, but as two fleshed out, well-rounded, flawed characters who actually had a rivalry/fight that spanned 3 books, I can see how people might argue about who is better in that particular vs. But James?
I seriously do not understand all of the consternation in the fandom about James. He's a comma in the book. A plot device made to further the character development of Harry, Sirius and Snape, but never really be a concrete, well laid out character himself. He's more of an idea of a character, than a full bodied character. How can you love or hate him? How can you feel strongly about him at all? You might as well be arguing about who you love or hate between Justin Finch-Fletchly and Ernie MacMillan or Hannah Abbot and Pansy Parkinson, I think they were more developed characters.
I think anyone who really LOVES James (and can say more than ""my curiosity is piqued by the brief glimpses we get of James and how he relates to Harry, Sirius and Snape, and gosh darn it, I would like to know more about this individual. Please JK, give us the Mauraders era Netflix show we are all clamoring for...."") loves James BECAUSE of the fandom and fan fiction, and as a off -shoot love of Harry. Not because they know anything about the character of James at all.
221 Views · View 15 Upvoters",Erin Shackleton,Why do people choose sides instead of hating both James Potter and Severus Snape or loving both of them? Is there anyone who hates both or loves both or feels indifferent about both?,Harry Potter
9,"He likely grew up, against all odds, to be a slightly better man than his father.
But he might have had to struggle. Upon deciding to be a better person, he discovers he is at odds with every friend he's ever known, and even his own father.
Petunia, perhaps a tad more emotionally aware than her husband, and a woman who dotes upon her son, may notice the difference and support Dudley, and as Dudley starts getting into more fights with Vernon, Petunia will take Dudley's side against her husband. A wedge between husband and wife will develop.
Dudley will seek out better friends at his new school, people who remind him more of his cousin Harry, but that won't be easy for him. These better quality friends will not fail to notice that Dudley is just not as practiced in kindness, thoughtfulness, or social fluency as a lad his age aught to be, and a little too quick to resort to violence in an attempt to defend his new friends. His jokes are just a tad inappropriate and fall flat. His expressions of kindness come off as awkward and miss the mark. At first, at least, he is more tolerated than fully accepted. But he is tolerated. His new friends can tell he is trying and he is not really a bad sort. They have more generosity and patience than his last lot of friends.
Dudley has many lonely years. He writes to his cousin Harry occasionally, and while Harry is kind enough to respond, he knows that Harry will never fully see him as a brother, which he secretly longs for. He wonders if his loneliness is worth being a better person.
He knows that it is. This is his penance, and when he remembers who he used to be, he cringes. He will never be that bully boy again, that empty, cowardly, cruel person. He would rather die.
And as he gets older, he gets better, he does eventually catch up with his peers. He will never be an intelligent man, but he does get better at making friends. He takes other reformed bullies under his wing, he makes good friends who appreciate him, he even eventually falls in love and gets married.
She is no great beauty, but Petunia adores her daughter-in-law. Vernon had long since given up on Dudley and doesn't have much to do with her. They have one son, and Harry comes over with his kids to meet Harold. They love their new baby muggle cousin and think uncle Dudley is funny and makes them laugh.
Vernon tries to take an interest in his grandson but Dudley won't let him have any influence over Harold.
Harold Dursley, with a better start in life in the area of family and humanity than Dudley had, is also a slightly better man than his father, and has an easier time of it. Dudley is thrilled by this and dotes upon Harold, but not in the same way that he was doted on. He is a bit more careful to give Harold some direction. Harold, he considers, is his redemption. His making up for the cruelty and pain he caused in his younger days.
When Harold grows up and has kids, he has twin daughters. One of the daughters seem to be able to cause strange things to happen around her. It reminds Harold of some stories his grandmother and father told about some other relatives. On his daughters' eleventh year, one of them receives a letter…
6.9k Views · View 145 Upvoters · View Sharers",Naomi Green,What happened to Dudley in Harry Potter?,Harry Potter
