,answer,author,question,topic
0,"Short Answer
It is not how a Sushi Chef is intended. Each step in making Nigiri is carefully thought out and designed to achieve a perfect taste in your mouth. Therefore if you dip the rice into the soy sauce, you may not achieve the taste the Sushi Chef intended.
In other words, it is not how the Chef would like you to eat Nigiri.
Long Answer
For the sake of this discussion, we'll look at the making and the design of Maguro, Tuna Nigiri.
Here are the steps I would take to make Maguro Nigiri.
1. Slicing a piece Maguro
Mainly, there are three different kinds of Maguro for Sushi; Bluefin, Big Eye and Yellowfin Tuna. They all taste different, and each part of the fish tastes different. Belly has more fat content than the back and the tail. This means I must cut each part in different length and thickness. For example, I would cut O-Toro (fattiest belly) very thin, thinner than back meat because a thick belly piece would taste overwhelming from the fat. It requires experienced eye and taste bud of a Sushi Chef to determine how to cut a piece of Maguro for nigiri.
2. Applying wasabi
I think wasabi goes well with Maguro. In fact, wasabi tastes better with Maguro than any other fish. (it's my personal opinion, as well as most of the Sushi Chefs I've worked with in the past seventeen years in California. Just as a reference, Jiro Ono said the same thing, too :)
So, I would apply more wasabi to a Maguro Nigiri than Hamachi Nigiri. In other words, an experienced Sushi Chef would apply a different amount of wasabi to a Nigiri, based on the type of fish and part of the fish. I would apply more wasabi to Toro than regular Maguro. Wasabi's aroma is wonderful creating a great harmony with the taste of Maguro.
3. Forming Rice
Based on the size and the thickness of the Maguro I sliced, I would estimate how much Sushi Rice I would need to form a nigiri, as I imagine how the slice of Maguro would taste. After applying wasabi on the piece of Maguro, I would form rice applying pressure. Ideally, a perfectly formed rice should have some tiny pockets of air inside. At the same time, each grain of the rice should stay intact. The reason for the air pockets is so that when you put Nigiri in your mouth, the rice will spread apart inside, releasing the flavor of rice vinegar, sugar, salt and sweetness and Umami.
(A MRI Image of Nigiri, by Jiro Ono. There are some air pockets around each grain of rice. This is considered as a perfectly executed Nigiri. Mine doesn’t even come close to this one. Sigh.)
4. Applying soy sauce on the piece of Maguro
The final step is to apply a thin coat of Soy Sauce on the top piece of Maguro, using a brush. Wasabi, Maguro and Soy Sauce create a perfect balance of taste and aroma. Soy Sauce erases the nice aroma of Wasabi, so just a small appropriate amount on the fish side is good enough. (note that not all sushi chefs season the nigiri with Soy Sauce before they serve them.)
These are the main steps in making Maguro Nigiri.
Each step aims to achieve a perfect balance of taste and aroma. Everything is carefully calculated and designed.
Thus, this is what will happen when you dip the rice part of your Nigiri into the soy sauce.
1. Rice will fall apart before you put it in your mouth
When you dip the rice into soy sauce, it will quickly absorb soy sauce and starts to fall apart, before you can put into your mouth. As mentioned above, Sushi Chef intended the rice to spread apart in your mouth, not on the soy plate, therefore, what you will taste, will be different from what the chef wanted you to taste. Even if you managed to put Nigiri into your mouth without losing a grain of rice, rice will have too much soy sauce, which, will change the flavor balance of the Nigiri.
2. Kill the aroma of Wasabi
Too much soy sauce in the Shari, Sushi Rice will kill the nice aroma of wasabi applied under the piece of Maguro. Remember the Chef's intention of applying more wasabi to Maguro? That will be in vain.
3. Rice will taste different
Sushi Rice is seasoned with Rice Vinegar, Salt and Sugar (some chefs do not use sugar). Soaking the rice side of Nigiri will alter the taste of Shari, which, again, is not what the Chef intended.
So, when you dip the rice into the soy sauce, you are saying;
A) I don't know or care about how the chef intended my Nigiri to taste.
B) I am aware of how the chef intended and designed my Nigiri to taste. Knowing this, I would like to eat it in my way.
Is it inappropriate or wrong to eat that way? I feel the answer depends on the chef. I would not say it is wrong. As I stated above, it's not how Nigiri is designed.
That being said, in conclusion, I would like to say this: Eat your sushi the way you like to eat it. (Kaz Matsune's answer to What's the correct way to eat sushi?)
Through years of my experience, I came to understand that people are free to eat their Sushi in the way that please them. I came to understand that is the best way to eat anything. I came to understand that each person has different taste bud. I came to understand though some people say Natto (fermented soy beans) smell so foul, yet they love the smell of Blue Cheese. I came to understand that just because I love the taste of Uni, that doesn't mean my clients would love them, too. I came to understand that my opinion as a Sushi Chef matters, but it is not final. I came to understand that I am not always right about Sushi.
If a Sushi Chef gets offended for his customer for not eating his Nigiri the way he intended, that is his ego, not respecting his customer, or thinking he is better than his customer.
I came to understand both the chef and his customers are equal. If I fail to respect my customers, my customers will not respect me either.
A customer should not obey a chef automatically and a chef should not obey his customer automatically either. Sushi Chefs are no better than you, non-chefs, the customers. We know more about Sushi, but that does not make us better. Our job as a Chef, I think, is to guide you and serve you, not force you to change your mind or the way you eat Sushi.
The way to eat Nigiri is just a proposal, an idea, a suggestion and it's up to you to take it or leave it.
39.8k Views · View 754 Upvoters",Kaz Matsune,Why is it inappropriate to dip rice into soy sauce when eating sushi?,Sushi
1,"Most unagi served outside Japan is precooked, vacuum-packed and frozen. Not all the brands (by far) actually use the river eel species that’s the “real unagi”. The wild one is endangered and the farmed unagi is in high demand in Japan itself. A lot of of the eel served as unagi kabayaki is a similar species farmed notably in China.
The restaurants that do serve river eel kabayaki-style outside Japan actually use local live eels to make it that aren’t, strictly speaking, unagi. It’s more common for these restaurants to be yakitori-style joints rather than sushi bars, though I’ve eaten some “homemade” kabayaki at a few more high end places.
Anago is a species indigenous to Japan. It’s in high demand, and like other fish from Japan there are quotas and restrictions. Restaurants that serve it get it alive (eels deteriorate quickly). It’s a fragile flesh. It would not travel well once cooked, and I suspect it wouldn’t fare well frozen. Restaurants that do serve anago outside Japan usually have a private importation license for live fish. Most of them are on the expensive side.
273 Views · View 7 Upvoters",Dominic Audy,Why do most sushi restaurants in the US have unagi but not anago?,Sushi
2,"If it's the green toothpaste that is served as 'wasabi' in 99% of the Western world, it's because you should only use a little, if any. In quantity, it steps all over the flavor of good sushi.
Some places will give you huge amounts. I saw one place recently that dispensed paste 'wasabi' with a large melon-baller…making chunks about the size of my thumb (and I've got big hands). They do this because lots of spicy green gunk covers the smell of slightly off fish, and desensitizes you to the fact that the ‘crab’ is really Krab Brand Ocean Product.
On the other hand, if you are at a place where they give you real wasabi, freshly cut by a true master, dipped gently in a mix of rice wine vinegar and secrets, then schmeared with the back edge of the knife before being placed in a lovely ceramic bowl; the reason they only give you little is simple. Real wasabi is bloody expensive.
There's exactly one place I know of in this state that serves real wasabi. It comes by special order from Japan, and is treated with the same respect given to real truffles, caviar, and foie gras. It's rare, and beautiful.
Also anyone serving the real stuff is probably serving sushi that needs no additional spice, wasabi or otherwise. In the last three visits to my local amazing place, I've gone through less than an ounce of real wasabi, and have not touched the soy sauce at all…. It doesn't need it, and would be an insult to the art.
7.6k Views · View 94 Upvoters",John Timaeus,Why do sushi restaurants give you so little wasabi?,Sushi
3,"First, ceramic knives aren't that sharp.  They're fine when they're new, but they aren't sharper than a polished knife.  Sushi knives also tend to only cut soft things.  They cut through soft flesh, dry seaweed, and soft vegetables.  They don't wear down very quickly, so even if you were bad at sharpening your knife, it would still stay sharp for quite some time.

One of the bigger issues is how fragile the knife actually is.  Those things shatter easily, and it just isn't worth the risk.  Chefs take care of their knives, but they still could get knocked off a table, or have something banged on them.  That ceramic knife is probably going to break in a professional kitchen.  Maybe not today, maybe not tomorrow, but it just isn't a proper commercial product.

Another issue is size.  If you look at the more expensive sushi knives, they are very long.  You could make a ceramic knife of the same dimensions, but the longer the knife is, the more likely it will crack.  It just isn't worth it.  The knife needs to be long too.  You can slice through sushi rolls just fine with a 6"" - 8"" knife, but if you get your hands on a tuna loin, you want to have a long knife to have proper slices through the meat.  If you don't have a long enough knife, you're going to have to use a sawing motion, and you're more likely to have imperfections on your tuna.  You want one even cut, not multiple cuts.  With such expensive product there is just no point in using an improper tool.

Professionally speaking, there isn't any benefit to a ceramic knife.  I tried to use one for cutting lettuce, because theoretically that is ideal.  My properly sharpened 10"" Misono left less bruising on the edges of the lettuce.  I made that knife my small service knife, and I came back to my station one day to find it cracked on the floor.  It just happens sometimes, and the guy who broke it apologized, but had it been a metal knife that wouldn't have happened.

Also, I can fix a bent tip.  I can't do anything with ceramic shards.

I've seen professional chefs use those ceramic knives as travel knives.  They leave their expensive knives at home, and use a ceramic one that they can afford to lose in a foreign kitchen.  One chef even gave us the knife as a parting gift.  That knife lasted several months before we found it cracked in the sheath because someone closed the drawer too quickly.

I'm not a knife collector, but I do have quite a few.  One from 2002, 2003, 2005, 2010, 2013, and I don't plan on getting rid of any of them anytime soon.  Each one cost between $40, and $200.  I think total investment is less than $600.  They should all last me another 20 years.  I can't even imagine what 20 years of ceramic knives would cost me.

There is a place for ceramics though.  I am a big fan of Kyocera's ceramic peelers.  They are fantastic.  Standard peelers aren't as sharp, and they react to a lot of food.  Standard peelers also don't last all that long.  I go through about 1 per year.  If I am careful, I can get more than a year out of a ceramic peeler, but they do break.  At $10 vs $1 to $5, I consider this a reasonable investment, and benefit relative to cost.

Ceramic knives are fine for home use.  Get a new one every year, and you probably have a sharp knife for years.  Most houses don't even have a sharp knife, so that's a huge step up.

For the most part, Ceramic knives are a gimmick.
1.6k Views · View 9 Upvoters · Answer requested by
Philip Lee",Shawn Ramirez,"Why don't sushi chefs use ceramic knives? They’re better than steel knives in every way except for chopping uses. It seems like they would be perfect for sushi, but I’ve never seen a sushi chef use one.",Sushi
4,"When seasoned vinegar or vinegar and sugar is added, it will increase the calories.
283 Views · View 1 Upvoter",Mary Delasantos,Why does sushi rice contain much more calories than plain steamed rice?,Sushi
5,"depends if your sushi waqs made by garifeld or not
701 Views · View 1 Upvoter",A Rod,How much does an average sushi meal cost for one person?,Sushi
6,"Fuji Sushi in Winter Park on Lee Rd near 17-92
It's the only place I go for sushi now…..love their Fuji Bomb too. The same chef has been there since I've been going…..over 7 years.
I'll be writing a review on this place soon..stay tuned
133 Views · View 2 Upvoters",Dionne Campbell,"Where can I get the best sushi in Orlando, FL?",Sushi
7,"A lot of good answers here, but I’d throw in one more comparison: butter.
When used with pasta or on top of a steak, it adds a similarly rich mouth feel.
(Unless it’s been cooked. Then it doesn’t taste like much of anything. Best to add it once the pasta is done, and let the heat from the noodles warm it slightly.)
9.2k Views · View 6 Upvoters · Answer requested by
Thomi Pataridou and
VintageDrGonzo",David W. Rudlin,What does uni (sea urchin) taste like?,Sushi
8,"We don’t call that “all you can eat,” as that would imply one price for unlimited food. Conveyor places in Japan are pay-by-the-plate. They tend to be reasonably priced. You should take no more than two dishes at a time, and finish them before you take any more. Take your time, have some tea, “let it hit bottom,” and also wait for some different things to appear on the belt. It usually takes a half an hour or so before all of the usual selections appear on the belt. It would be impolite to take more than you can eat, and it would be impolite to eat until you’re stuffed, so stop when you have a comfortably-full-but-not-stuffed feeling, and maybe the family will go for ice cream afterward.
76.4k Views · View 799 Upvoters · Answer requested by
Jason Blau",Jan Soloven,"How much food should I take at a conveyor belt sushi restaurant? I am an exchange student in Japan and my host family is taking me to a restaurant, where you take all you can eat. How much should I take? The family seems fairly well off.",Sushi
9,"Edit (July 4, 2016)
So, I did some research after my original answer and guess what? I was wrong about a ceramic knife can be easily chipped.
My answer was based on my experience from ten to twelve years ago and since then, the technology in ceramic knives have advanced, apparently.
Kyocera makes ceramic knives, including Yanagi Sashimi knife whose blade is flexible and durable, eliminating the chance of being chipped. Here are the videos:
Bending Test:
Drop Test:
Since I have not yet used or seen and touched this ceramic knife, I am not 100% sure how durable it is. However, I can say for sure that my answer to the question is different now.
So, the reason for the sushi chefs to not to use a ceramic knife, is because, most of them, myself included, believe the ceramic knives are unsuitable. Like me, perhaps, they are stuck in the old notion that a traditional steel yanagi knive is better than the ceramic one. I am not saying that a ceramic Yanagi knife is better than a Steel one. I am saying that it’s their belief which is preventing them from being open minded.
Old Answer:
Over my sixteen years as a sushi chef, I've only seen one sushi chef and one non-sushi chef with a ceramic knife. They both told me the same thing, as pointed out their beautiful ceramic knife: They chip easily.
The sushi chef who showed me his ceramic knife told me this: ""Yes, I bought it because they said it is very sharp, light and beautiful, but you know what? I cracked it after few days in the kitchen. I must handle it really carefully and in a professional kitchen, especially when we get busy, it's very hard to keep a constant eye on the ceramic knife and pay attention.”
If you ask me, and you are welcome to ask other sushi chefs, as well as any chefs, and I bet most of them would say the same thing about a ceramic knife not practical in a professional environment. The chance of the ceramic knife being hit by ingredients, equipment or being dropped is so high (because we use our knives every day for 8 hours that in the kitchen), for me, I'd rather want to keep using my steel knives. (Even the blade of a steel knife can be chipped)
3.9k Views · View 18 Upvoters · Answer requested by
Mark Hewis and
Philip Lee",Kaz Matsune,"Why don't sushi chefs use ceramic knives? They’re better than steel knives in every way except for chopping uses. It seems like they would be perfect for sushi, but I’ve never seen a sushi chef use one.",Sushi
