,answer,author,question,topic
0,"No Kum Sok was a North Korean fighter pilot during the Korean War. Not only that, but he was the youngest North Korean fighter pilot of the Korean War. His day job therefore consisted of flying these:
This is a MiG (Mikoyan-Gurevich)-15. It was developed using research on swept wings taken from the Germans, and powered by a reverse engineered British Rolls-Royce Nene engine which the British Minister of Trade, Sir Stafford Cripps, had for some inexplicable reason sold to the Soviets under the agreement that they would not put it in a jet fighter.
When the Korean War broke out with North Korea’s surprise attack on South Korea, the North Korean air force consisted of World War Two vintage propellor driven fighter aircraft, which were both outnumbered and outclassed by the American straight winged jets (Such as the Lockheed F-80 Shooting Star) facing them. The result was American air superiority, and free rein for American B-29s to bomb North Korea.
Then suddenly, the MiG-15 appeared in the skies over Korea, and proceeded to utterly outclass the American fighters in turn. This handed control of the air back to the North, and suddenly the B-29s were not having such an easy time of it. Indeed, the Americans were so desperate to get their mitts on one that they offered a reward of $100,000 and political asylum to any pilot who would defect with one. Meanwhile they rushed their own swept wing jet fighter, the F-86 Sabre, to Korea to counter it.
Meanwhile, No was progressing through pilot training, first in the Navy and then in a Manchurian flight training programme, but he had a secret that would have landed him in deep trouble had it been revealed; He was not a communist at all. In fact he was quite anti-communist and pro-American, views dating back to his childhood in Japanese-occupied Korea.
Indeed on one occasion, when he and his aircraft were being inspected by Kim Il Sung himself, he seriously thought about just pulling out his pistol and shooting the “Great Leader” right there and then, but he decided against it.
No ended up flying his MiG on many combat missions during the Korean War, but he always held off from actually engaging in air to air combat, partly to avoid getting himself killed and partly so he wouldn’t end up killing any American pilots. No had had dreams to go and live in the United States for a while by this point, but he hid it by essentially appearing to be the most devoted Communist in the entirety of the Second World. He started his own newspaper (Ardently pro-communist) and generally appeared to be every bit the loyal Communist.
Inside however, he was plotting his escape.
In July 1953, after the Korean War finally settled into stalemate around the 38th Parallel, an armistice was signed that ended the war, and established the DMZ around the area of the front at the time.
On the 21st of September 1953, a few months after the end of the war, No Kum Sok was taking off on a routine flight from his airbase, or so everyone thought. In fact, what he was actually doing was stealing his MiG and defecting.
He turned south, and flew across the 38th Parallel. The North Koreans did not attempt to stop him, mostly because he had taken them by surprise and any aircraft they did send to stop him would not have caught him in time, and the Americans did not shoot him down (they did not know of his intentions any more than the North Koreans did) because their radar had been shut off for routine maintanance, which was a stroke of frankly incredible luck for the defector.
Eventually, after 17 minutes of flight, No began to approach an American airbase, the Kimpo airbase which is now the Gimpo international airport. Because he did not really have time to plan his approach properly, No was forced to land facing the wrong way down the runway, forcing another aircraft who was also landing to swerve out of his way at the surprise MiG coming straight at his face.
No landed successfully and immediately jumped out of his plane. He tore up the picture of Kim that he and all North Korean pilots kept in their cockpits before surrendering.
No Kum Sok in full pilot’s uniform, immediately after landing his MiG-15 at Kimpo
He was eventually awarded the $100,000 reward for his MiG, despite his insistence that he had never even heard such a reward was available and that it was not his motivation for defecting. He eventually realized his ambition of moving to the United States, and he still lives in Florida today.
Sources:
This Florida man escaped from North Korea in a MiG-15 fighter jet
Book: “The Great Leader and the Fighter Pilot”, Blaine Harden
98.7k Views · View 3.8k Upvoters · View Sharers",George Etteridge,What was the craziest defection during the Cold War?,The Cold War
1,"Here is my personal family story dealing with Mr. Che Guevara.
When I was 2 years old the Cuban Revolution was in full swing. My father was the sort of lawyer people in trouble wanted. One who never billed clients and rarely walked away from a fight. In a landmark case that stunned the nation, 22 survivors of an armed invasion led by Fidel Castro were put on trial for seeking to topple Cuba’s dictator. The event is referred to in Cuban history as Castro’s ‘Granma’ Invasion (and the subsequent Granma Trial). Papa took the case pro bono.
Lucas and Dora Morán, Santiago de Cuba, 1955
 
As attorney for the defense he admitted their guilt. And proclaimed their innocence. “Cuba’s Constitution,” he told the tribunal, “makes it every citizen’s duty to oppose tyranny. Precisely as they have done. Release them. It's not they but Batista who's here on trial.” A forceful defense. So much so the prosecutor walked the length of the court to stand beside him, declaring unwillingness to seek punishment. The lead magistrate voiced the same opinion; he voted to acquit. You can imagine the tumult in that place. The two remaining justices, cowed and fearful, voted to convict. Our trial of the century.
 
When I was 3 dad went into hiding. He didn’t have much choice. The police were after him. Cuba’s dictator didn’t like those courtroom antics. He ordered his assassination. (It was commonplace then.) Dad fled the city, joining Fidel Castro’s rebel army in the Sierra Maestra. Fidel gave him a rifle and commissioned him captain. Every once in a while he’d come down from the Sierra to see us kids. He’d dye his hair blonde, or wear a dark moustache. Always incognito. Because by the time I was 4 papa had analyzed Fidel. He didn't like what he saw: an intelligent, deceitful sociopath of totalitarian pretensions.
Captain Lucas Morán (l.) and Comandante Raúl Castro (r.), in the mountains of the Sierra Cristal, summer of 1958
 
Fidel opened a second front in the mountains of the Sierra Cristal. He put in command his younger brother Raúl, a cruel, despotic little man with distinct Napoleonic tendencies. (Fidel once warned the rebels: “You’d better hope no bullet gets me. Because if it does, you’re going to have him.”)
Things were looking up for the revolution. Government soldiers were surrendering in droves, and one day Comandante Raúl found himself with two hundred captives, no place to jail them, and no guards to watch them. He and Che Guevara together informed Captain Morán they were to be shot. Father was enraged. ‘A criminal act,' he called it. The murder of unarmed men. “Our only legal recourse,” papa told Raúl, “Is their release. They can be paroled to the Catholic church or the Red Cross.” A complicated solution, and not without risk, but it was so done.
With the Army of Liberation in the Sierra Maestra, 1958
Papa then launched a revolution within and against the Revolution. He composed a legal writ. Rebel officers penned their names alongside his. (Raúl was not popular among them, having a sadistic and unsavory reputation.) Papa’s writ is referred to in Cuban history as la ley de los capitanes--‘the captains’ law’. Sort of like a little Cuban Magna Carta, it was our first attempt to curb Castro’s tyranny.
A council of officers will henceforth examine all orders decreed by Comandante Castro. We will veto illegal or immoral commands. Extrajudicial punishment and trial by firing squad will end. Defendants will be given opportunity to present evidence and call witnesses…
Cuba’s rural peasantry was then mired in poverty and illiteracy, a situation best described as feudalism. As the rebels freed vast tracts of the Sierra, land grants were made to sharecroppers in territorio libre de Cuba. A rural literacy campaign brought teacher-volunteers from the cities to teach mountain dwellers their abecedario. Papa saw literacy as a powerful tool against oppression. But he also knew liberation would be short lived, should Castro assume dictatorial powers. “He wants to herd us out of one pen,” he warned fellow officers, “and cage us in another.”
Castro’s answer to ‘the captains’ law’? Capt. Morán was summoned before Raúl and Che Guevara for ‘a frank exchange of ideas’. It proved nothing of the sort. He was arrested. This is war, Che reminded. And in a war, he said, we may send men to the firing squad as we see fit. Evidence is academic. Legal procedures are archaic bourgeois details. The Revolution must have absolute power to coerce and to punish. Raúl accused papa of conspiring against Fidel. ‘This is treason,’ he accused; ‘Treachery, sedition, subversion, betrayal!’ Crimes against the Revolution.
 
A trial was held in the mountains of the Sierra. He was court-martialed. Were it not for his role in the urban resistance, and his following among rebel ranks, he’d have been shot. Instead he was disarmed and sent back to the city. In disgrace, (so they said), there to face Batista’s wrath. Raúl’s operatives then tipped off the dictator’s police. 'A fugitive from justice, the lawyer Lucas Morán, is in central Havana.' Pursued in the mountains as well as the cities, papa faced more than one of Batista's assassins. He evaded several attempts on his life.
When I turned 5 Fidel won the Revolution. I remember the victory parades, army tanks in the street. At the School of Law where he’d once taught papa was tried in absentia. Chief witness for the prosecution was one of his former law students. The young man had served alongside him in Castro's Army of Liberation. His name was Jorge Serguera. Captain Lucas Morán’s little Magna Carta, and his refusal to take part in revolutionary trials (with death by firing squad) were judged ‘counter-revolutionary acts.’ Penalty was death by firing squad.
But papa had made many friends during the revolution. He’d won many courtroom victories, saved a lot of lives. Those people remembered. They sheltered him and helped him flee the country. He made it out of Cuba just in time. The CIA picked him up in New York. As with many Cuban exiles, the agency took a professional interest. That’s when his life started to get interesting.
Comandante/Prosecutor Jorge Serguera at one of his many televised show trials, Havana, 1959
 
Papa’s accuser, Comandante Serguera, was later rewarded with a government ministry. As President of the Cuban Institute of Radio and Television he went on to prosecute intellectuals, poets, writers, musicians, long-hairs, dissidents, and homosexuals. As if that weren’t enough, he banned the Beatles from Cuban radio. I contacted him a few years ago. He expressed a desire, through a mutual friend, to meet with me. “Your father was a fine man,” he offered. “A brave man. My role in his affair is completely misunderstood.” He died of cancer before our meeting could take place.
 
Admittedly, this is a story of loss. It’s about a man who loses his home, his family, his livelihood, his fortune, his native land, his native tongue, his revolution, his counter-revolution, his freedom, and (very nearly) his life. While keeping the thing most precious to his heart, to wit, his principles. It starts in Cuba and ends in America, as many good things do.
Modern day enablers paint Che Guevara in heroic terms. That is their myth, and they are welcome to inhabit the myth, should it comfort them. But they must also know that those who condone oppression for the rest, while demanding rights and privileges for themselves, are not men, in the traditional sense. They are less than men, cowards perhaps, children no doubt, enjoying freedoms they never fought for, never bled for, and certainly never won.
***
An addendum
My father was not an easy man to categorize. Eager to take down bullies a notch or two, a brawler and street-fighter by nature, he also despised acts of cruelty. He had a soft spot in his heart for animals of all sort, song-birds in particular.
He was raised in accordance with an unspoken code unknown today. It derives from Spanish chivalry. Honor stood above all else; a man who witnessed a woman assaulted and abused, but took no action, was no longer a man. He was something less. Not all followed this code, of course. Those who did knew where they stood.
The Cuban nation, (he was further taught), is female; like the Virgin herself, Cuba is a woman, beautiful and green, warm and nurturing. She is irreplaceable. An affront to her was an affront to all. And any man who failed to rise in her defense? Well, sad to say, he was no longer a man. He was something far less. There was no deeper shame.
It is not mere metaphor. Our traditions explain (in part) why so many abandoned home and family to join a revolution that paid nothing, and promised nothing, save the possibility of (at best) capture and imprisonment, and (at worst) injury and death. Honor and justice were principal reasons the Cuban Revolution was fought at all.
When the rebels entered Havana at the close of 1958, Che set up headquarters in the ancient Spanish fortress of La Cabaña. For five months he oversaw daily summary trials and consequent executions by firing squad. He enjoyed his work. Batista's army had by then become Fidel's army. Batista's police were now Fidel's police.
Mr. Che Guevara has since transformed into a semi-religious icon. Devotees wear his face across their chest, much like an image of Saint Anthony. Hoc est corpus meum, as we say in the Latin eucharist: “This is the body of Christ.” Upon Che’s unseemly apotheosis, adherents have turned their myth into a holy struggle between the Church of Che and lawless heresy.
Lucas Morán said the worshipful adoration of any political figure, whatever his legacy, must and should raise suspicions in a rational human being. Worship is the conceit of angels, not of men.
***
I write about the Cuban Revolution through the perspective of those who lived it. This trilogy of answers speaks to my father’s involvement in the Revolution, and transformative events that followed.
How do people describe Che Guevara?
What is it like to defect from Cuba?
203.1k Views · View 3.7k Upvoters",Leonardo Morán,How do different people around the world describe Che Guevara? How is he so popular?,The Cold War
2,">Will China eventually break up into several different countries, like the Soviet Union did?
I am from Soviet Union and I can say for sure that it was destroyed not because of problems with economy, our economy was not great but vast majority of Soviet people were absolutely used to it and considered it normal. In many respects it was even better than today, people were relaxed, free medicine and education, rent was almost nil, enough simple food, no cars no traffic and clean air. There was no any upheaval or protests of any significance.
Also, the potential of Soviet socialist economy was absolutely great considering that about 30% of it (and practically 90% of science) worked to provide military parity with West where just around 3–5% of economy was about weapons and army. If our old leaders could stop trying to maintain absolute parity - we would develop faster than China.
USSR became ex-USSR because of money/influence of America and generally West, Gorbachev’s betrayal and stupidity, plus corrupted communist elite decided to convert their power into millions which are much easier to pass to their children than power.
So, the answer is YES, it is possible. All ingredients are there though maybe in different proportions and maybe there is no critical mass to explode the system:
Plus: Chinese send their corrupted officials to jails and latter USSR was not doing that
Plus: Chinese propaganda (in a positive sense) is much better than in late USSR and economical success is helping it of course.
Plus: Chinese are different race and they suffered a lot from English - that helps a lot, Soviet people had no such barrier and were fooled into “friendship” with West.
Minus: money-money-money. Financial system is still controlled by America+Britain and many rich Chinese would prefer to betray China in exchange for saving their accounts. If rich Chinese will get power or powerful ones will get idea to convert their personal power into money - that will be the end of China and its prosperity.
Minus: Western propaganda and its ability to attract stupid young boys who never paid their bills without help from parents.
Hopefully there are more pluses than minuses and China will go ahead instead of being thrown backwards.
P.S. I see that many young Chinese think of China as very prosperous, strong and monolithic country. I can assure you that Soviet people felt exactly the same way about USSR and I am old enough to remember jokes about poor Chinese that were so behind Soviet Union in economy and military strength. Don’t forget how your grandparents lived not so long time ago and for how many years China was in deep shit before it found a way out of it.
The fact is that West is still much richer and has a lot of power to influence and potentially destroy both China and Russia. The main problem is that Western prosperity is a mass-prosperity, they have plenty of rich people who are pretty educated and behave very responsibly despite all this talk about freedom and democracy. Besides, Western elite (real elite, not talking heads like Obama) developed system where nobody disputes their power - in part because nobody really knows who they are, and in part because westerners know that they live much better than Chinese or Russians and so they prefer not to ask real questions, it is enough to know that their elite provides high standard of living - and they don’t care how that is achieved. Basically they know that their system is good because their life is good and non-western countries (from where they suck all goods and resources in exchange for printed paper) simply have BAD system and NO democracy.
So, Western elite and population is REALLY much more monolithic than China and Russia where many people hate their elite because they are poor and elite is super-rich. Also, Chinese/Russians know who rules them - very small group of people whose life and motives are very far from life and motives of average citizen. West has enough resources to simply buy some of them, maybe not today, maybe not even tomorrow… it took several changes of leadership in USSR to find Gorbachev… but these people think long-term, they have huge resources and money to literally grow traitors. It took 23 years to grow a new generation of young idiots in Ukraine for example. They financed this process FOR MANY years - and it finally worked. If Chinese think that there is a big difference between Russians and Ukrainians - they are mistaken, 25 years ago there was no difference at all. It is now.
Also, think about mentality of top communists in China. Chinese love their families and children, right? What is better for children (especially if they are not as bright as father): to be a super-powerful communist leader or a simple ordinary multi-billionaire with many reliable accounts in Western banks? The latter means - Dynasty! And super-power can’t be reliably passed to children and even more so to grandchildren etc.
Don’t underestimate West, especially English/Americans, they know how to find cracks and infect whole countries with lethal viruses which will not kill Russia or China of course - but can make them very sick and weak for a long time. Remember opium? Now it is Hollywood, porn, Internet, mass-media etc. They still control a lot and will control in near future. Never relax, don’t stop executing corrupted officials and don’t forget to deprive their children and relatives of all money and generally good future. Healthy universal hatred of West is also helpful, don’t forget to cultivate it on all levels of your society even if it hurts business :) Trust me, such simple humanitarian things are MUCH MORE important for prosperity of country than stocks, investments, exchange rates etc.
Added after reading comments: I agree that late Soviet Union was not as attractive as West, it was as poor as for example today’s Spain compared to Switzerland. However, I don’t see how disintegration of country and all business processes could possibly help to improve lives of ordinary people. Most westerners are not aware what degree of poverty we experienced in 1990’s as a result of all these new borders, custom duties, different currencies etc. Any high-tech product like airplanes was made in several USSR republics and this cooperation was disrupted after all these republics became separate countries.
It was necessary to reform USSR like China was reformed, and that required unity and strong leadership, not Gorbachev’s betrayal and disintegration of great country to please West. Actually, the success of independent Putin’s Russia as well as success of independent Kazakhstan and Belarus (all 3 presidents are labeled as “dictators”), as well as failure of those who agreed (or was coerced) to follow West (Ukraine, Moldova, Bulgaria, Serbia, depopulated Baltic republics etc.) show what is the right strategy.
Of course, China is the best example of rapid development and their experience should be studied and followed. Besides, it is so much easier to work with China because Chinese don’t package their recipes together with LGBT, political demands, don’t teach “democracy” and ”human rights” while bombing and organizing coups across the globe.
Though to say the truth, Russia developed not much slower than China when oil prices were high, and it made little sense to care about production of goods when it was so easy to drill and buy goods abroad. Now we have different situation with oil and gas, so Russia will diversify its economy of course, and weakened ruble will help to compete internationally. Please don’t stop western sanctions! They really help to develop local production and strengthen cooperation with China and generally with growing Asia :)
Added more after reading comments:
>I feel sorry that you feel that you need to “hate” the west!
I am well aware that there are bad and good people everywhere. However, good western people don’t define politics and international affairs. Good western people somehow did not prevent tragedies of American Indians, millions dead from famines in India and opium trade in China. Quite the opposite, these good people benefited from collective looting of these people. In 1990s the entire West benefited from looting of former USSR when we became extremely poor and suffered from cold and problems with electricity while so-called Russian oligarchs channeled abroad all natural resources (oil, gas, coal etc.) and money from their sale into western banks. Yes, I saw some western people who were genuinely concerned about that but they don’t define politics and they elect politicians who well provide them at expense of others. Watch this interview and maybe you will understand why for us it is so much better to be an open enemy than hope to befriend you:
66.6k Views · View 573 Upvoters · View Sharers",Alex Ladov,"Will China eventually break up into several different countries, like the Soviet Union did?",The Cold War
3,"Pretty far. Most people don’t understand how close it was during the Missile Crisis. Consider this:
It’s October of 1962 and the United States and the Soviet Union have been growling at each other over the island of Cuba for about a week now. The Soviets have SS-4 Sandal missiles with multi-megaton warheads on the island as well as a bunch of tactical nuclear weapons to fend off any US invasion. Americans know about the missiles but not the tactical weapons. Kennedy views the missiles as destabilizing and is willing to go to war to get them out.
In an effort to avoid war, the United States has a cordon of warships blocking sea-lanes to the island and has placed Cuba under “quarantine.” American warships have orders to board and search ships with force if necessary.
The American and Soviet militaries are on high alert; bombers sit with live nuclear weapons in their bays, missiles are fueled and ready for launch. The Strategic Air Command has taken itself to DEFCON-2 — just one step short of war. It is the opinion of the military commanders that the sooner the shooting starts the more favorable it will be for the United States; they are actively trying to start a war.
It is in this atmosphere that a US destroyer detects a Soviet submarine between two cargo ships which are headed toward the quarantine line. With the sub submerged it’s not safe to board the cargo ships so the destroyers begin trying to force it to the surface by dropping sounding charges — small explosives which, in theory, can’t harm the sub.
On board the sub this is not at all clear. Moscow has not been in contact for a number of days, it’s unclear if a state of war exists between the Soviet Union and the United States, and the explosions in the water sound very much like real depth charges. Temperatures in the sub top 100 fahrenheit and the American ships on the surface vastly outnumber the submarine and his (Soviet subs are male by convention) squad-mates.
The captain decided that he would use his “special weapon” — a T-5 nuclear torpedo. The United States did not know, at the time, that Soviet subs carried nuclear weapons but, believing himself outnumbered and perhaps already at war, Captain Valentin Savitsky ordered the launch. He sought and received approval from his second in command. The submarine B-59 would engage the American carrier group with its nuclear tipped torpedo and would vaporize the squadron.
But B-59 was the lead boat in the flotilla and, as such, had aboard Vice Admiral Vasili Alexandrovich Arkhipov. As commander of the flotilla, the weapon could not be launched without his permission and he refused to give it.
What exactly happened on B-59 will probably never be known. The captain and he Vice Admiral were raked over the proverbial coals when they returned home. Their boat was never searched, but it was forced to the surface and the Soviet navy considered that within a hair’s breadth of treason. As a result, the records of the exact nature of the events on board will forever be tinged with the threat of execution or exile hanging in the air over those who witnessed it.
But we do know this: had the torpedo on B-59 been fired, had Arkhipov not refused to allow it, the United States would have lost a carrier group at sea to a nuclear detonation right off the coast of Florida in the most charged and bellicose moment of the Cold War. It is difficult - no, impossible - to imagine that Arkhipov’s decision did not avert a global thermonuclear war.
In October 1962, all that stood between humanity and the abyss was one man, out of touch with his government, sleep deprived, suffering from heat exhaustion, in a steel tube hundreds of feet underwater with explosives raining down on him from above.
Pictured: B-59 off the coast of Cuba as American helicopters circle.
18.6k Views · View 1.2k Upvoters",Chris Thomas,"Compared to the Cuban Missile Crisis, how close is the world today to nuclear war?",The Cold War
4,"Since around 1970ties, those borders were kinda open for a large part of the Polish population. Other East Block populations faced, in general, more practical restrictions.
You still needed a passport (or equivalent) to cross. Soviet Union would allow only a short term near-border (48hrs?) trips. And there were custom controls between countries.
That passport thing was the key. You had to take it from the police station for every trip, you had to return it afterwards. And they would give it to you or not, arbitrarily. Police used that as one of ways to control the behavior of people. Ruffle feathers, get locked inside your country.
Because the Soviet proxy Polish government was relatively “liberal”, millions of Poles were roaming East Block countries and making a steal in arbitrage (prices of goods). Other East Block citizens were more cut-off from this earning opportunity. This gave the Poles a significant leg-up after 1989, a large segment of the Polish population had some (laughable, but still) accumulated capital, many years of trading experience, and contacts. We talk millions of people.
Prices for goods in the East Block countries were set to “morally justified” values. This is socialism for you. As in each country “what is fair/justified” was a bit different, prices and availability were widely different. You could trade, enormous (percentage) profits, with half a brain and a whole bottle of vodka to make up for a lack of language skills. Amazing how languages are easy after a shot or two of a liquor.
You just needed to be able to cross the border.
408 Views · View 17 Upvoters",Piotr Szafranski,"During the Cold War, did the Eastern Bloc countries have closed borders between each other or were they open borders similar to the EU internal borders?",The Cold War
5,"The Chinese communist party had been silently working harrrrd to prevent this for decades. Let me explain:In ancient time, China could break up into different countries due to geographic barriers s...(more)",Janus Dongye,"Will China eventually break up into several different countries, like the Soviet Union did?",The Cold War
6,"There is a common denominator for all radical Socialist projects:
Sooner, or later, they all run out of money.
The Chinese answer to that was extremely pragmatic: let’s make some money, and see what happens.
We ran out of money in the 1980s, too. Yet, Gorbachev and Co. didn’t make the Chinese decision, which an entire Russia is now bemoaning. The reason for that bemoaning getting stronger year after year is that new generations of Russians are entering the public space and the Internet. More and more of us don’t know what the political scene and the public mood was like in the 1980s.
I know how it was, I was near the center of it. I can confirm that the Chinese option was totally out of question.
Why? Plain and simple: national divisions.
China has remained a national state even throughout the Communist rule. Russia has never been a national state. The Soviet Union was an empire, held together by the all-encompassing Communist idea.
If you try to mend the edifice of a Communist empire by introducing free enterprise, after decades of killing and imprisoning people for even a glimpse of a bourgeois thought, you start picking apart its foundation.
Remember that a lot of my powerful comrades were comfortably living in this magnificent castle. We had the world-class army and the unsurpassed secret police who seemed to have a firm grip on everything. And while people in the provinces were hurting, at the top nothing changed in their lifestyle.
Why run out in the cold, if your house isn’t on fire?
That’s why Gorbachev tried to start refurbishing the property by taking down some of the red interiors. He didn’t see the deep connection between the interiors and the foundation. He started talking about “common human values”, and convinced everyone that Communists were not going to kill people any longer.
Once that happened, the cash-strapped ethnic elites around the empire started asking: what do we have to lose? The Russians are broke, they are weak, there’s no more money coming in sight from Moscow, hey, what are we waiting for?
And the hell started. Tbilisi, Sumgait, Baku, Nagorno-Karabakh, Vilnius, everywhere.
29k Views · View 844 Upvoters · Answer requested by
Trey Davis",Dima Vorobiev,Was the fall of the Soviet Union inevitable?,The Cold War
7,"This is not my answer but someone else’s on Chinese Quora(Zhihu)
苏联解体二十五年了，你有什么想说的？ - 知乎
苏联的诞生惊醒了中国；
苏联的发展引导了中国；
苏联的强盛帮助了中国；
苏联的威胁磨砺了中国；
苏联的灭亡警示了中国；
我再也找不出第二个像苏联这么好的老师了，让我再唱一遍当年你教会我的喀秋莎。
苏联走好，别再回来了。
The birth of the Soviet Union inspired China.
The development of the Soviet Union guided China.
The golden time of the Soviet Union’s glory Union helped China.
The threats from the Soviet Union strengthened China.
The dissolution of the Soviet Union warned China.
The Soviet Union is THE best teacher ever. Should I sing Katyusha you taught me again?
Forgive my English
3k Views · View 125 Upvoters",Haoye Tang,Is China going to completely collapse like the Soviet Union did soon?,The Cold War
8,"Artillery, absolutely no doubt about it.
Capable of decimating hundreds of lives in the blink of an eye, a single well-placed shell can (and has) been the cause of some of the most terrifying acts of violence in history.
When I use the term artillery I include the Napoleonic war-era pieces onwards to the second world war, but they they have been used to devastating effect in Vietnam, Korea as well as the Bosnian-Serbian Civil war.
Lets look at the Battle of Waterloo since most are familiar with it:
Napoleon fielded just over 250 guns, with size varying from your small maneuverable 6 pounders to the brutally powerful 12 pounder field guns. The Allies (British, Prussians and Dutch) fielded some 150 guns of similar performance.
For reference a 12-pounder gun firing projectiles of 4.1 kg fired the projectile with a kinetic energy of 240,000 joules. This solid projectile would often be “skipped” across the field to fly through a formation of infantry, tearing through the ranks indiscriminately, fired from up to a kilometer away. However canister (or grape) shot was by far the scariest thing around, a package or tin of over 100 musket balls was fired at infantry within 400 yards like a giant shotgun, literally tearing through a swathe of bodies - all the infantry could do was reform ranks and keep marching.
12-pounder canister used in the American civil war.
But that’s not all…
Shrapnel shot was used by the British forces at the battle, exploding and fragmenting on impact or timer at the French lines advancing across the fields. It was one of the first major battles shrapnel had been used - and it scared the living daylights out of the French assaulting the ridge.
Now for a more recent and possibly just as pivotal war, the American Civil War:
Whilst the Napoleonic era had cemented the use of mass artillery batteries to support ones own soldiers and decimate the enemy, artillery had never quite been so useful until US politicians decided to send their sons to settle their arguments with blood. Artillery had grown ever more diverse and deadly at that point, and both sides were competitively straining to provide bigger and more powerful pieces to decimate their cousins with. Thus the widespread use of the massive 12 pounder guns, as well as the terrifying mortars and howitzers introduced but not quite refined during the Napoleonic era. (Of course the weapons were used to great effect in those years, but bear with me.)
A selection of shells used by the US artillery at the time. I am assuming this was for Union forces, but both sides had such ordnance available.
The important thing about this war was not quite the casualty count here, which were much lower than those caused by rifle and close combat - but the ordnance. Foreign representatives of a dozen countries attended these battles as observers to witness a turning point of modern military innovation. Shrapnel and high explosive shells were commonplace and some of the first Rifled Guns (cannon and small arms alike) were used to effectively out-range their smooth-bore counterparts. European observers took note, as can be seen next.
World War 1. The Great War. The war to end all wars… *sigh*
Over the past few years I have spent a great deal of time analysing and reading about this war, but one thing that I cannot convey enough is the sheer scale of violence experienced. We are not talking pea-shooters anymore, we are not talking line-of-sight firing positions; we are talking these:
One of the first Big Bertha (M-Gerät) Howitzers used by the Central Powers. It fired a 820kg shell, capable of firing up to 12.5km in range. Whilst predominantly used for cracking battlefield hardpoints - this is the level at which we are dealing with here.
British Mk1 18-Pounder field gun, the most widespread field artillery used at the time. High explosive, shrapnel and armor piercing were it’s mainstay - with timers and fuses available to improve effectiveness.
Now that we have had a small glimpse at the toys available, it’s time for us to understand the effect of such weapons.
Verdun.
Never have I studied such incredible horrors - and the immense bravery in the face of such.
The German forces decided that the region of Verdun, where the French lines lay, was to be a point of focus for one of their grandest offensives ever seen in the war. Over 1200 guns were assembled for the purposes of breaking the French, with 1 000 000 shells fired over the course of a 10 hour bombardment. Remember Big Bertha, 26 of those were used to target the fort and city of Verdun alone. Men died in their tens of thousands, before a single rifle was fired. Lung-melting gas, shrapnel, high explosive and bunker-bashing AP rounds shredded the French lines over a ten hour bombardment.
It is estimated that over a third of all French frontline troops were killed from artillery alone, buried in their own guts and comrades, without ever glimpsing their enemy. The use of mortars and super-heavy artillery was the main focus for the Germans as it enabled them to lob explosives into the trench-lines, raining fire from above and bypassing most line-of-sight cover of the troops.
Fort Douaumont before the battle.
Douaumont after the battle. It was taken by German forces and later recaptured by the French.
The casualties expressed by the overall toll of the battle reflects quite accurately the devastation caused by the artillery used. The Germans experienced the loss of 143 000 soldiers killed, and the French 163 000 killed and over 200 000 wounded, however one needs to understand that the French were DEFENDING. French troops had the advantage of their own defensive positions and familiar territory, as well as fall-back positions and redoubts. The German artillery (and ground forces of course) were so brutal that a whole 5km of frontline was taken in two days, with only 600 men being lost on the first assault. The damage was not just to soldiers’ bodies - but their minds; with communication lines damaged during bombardment the French were subject to absolute chaos as high command could not effectively coordinate the beleaguered soldiers. This is where some of the most eye-wateringly brave stories emerge, where decimated forces simply refused to retreat - and held their ground beyond any hope of success.
With the barrages lasting day and night, the rumbles are reported to have been heard over 160km away. One can hardly hear a car backfire over 300m, imagine over 100km…
Over the course of the war artillery was by far the greatest killer; with about 58.3 percent of all German deaths attributed, compared to about 41.7 percent by small arms fire. These values even further change when considering the trench warfare, where casualties as a result of artillery fire reached over 75% in some cases, the frontline of Verdun being one of them.
In summary
One can easily argue that small arms, such as rifles have caused the most military deaths, and it would be a close contender - but when it comes to the post-industrial revolution wars high explosives and fragmentation fired from some sort of artillery (field guns, howitzers and mortars) are paramount. One needs to also note that tanks carry artillery cannon, simply modified then mounted and carried into battle as a mobile and armored force. Tanks often play the role as mobile field guns in modern wars and the use of ship-mounted guns and torpedo launchers really don't have any other category than artillery. Anti-aircraft guns are artillery emplacements as well, and ultimately anything bigger than your Heaviest machine guns (20mm +) almost move into the artillery category - although tanks technically fall under the armored cavalry title.
Huge Note: I basically spent an hour writing an essay to myself apparently because the question asked for Infantry-specific and not general weaponry. Realised this AFTER writing the summary. Had fun writing it, really, so can only have a laugh and submit my answer regardless!
56.1k Views · View 1.2k Upvoters",Sean Woodgate,"What is the most devastating infantry weapon in history, why?",The Cold War
9,"Because it was an American mission by the American government using American equipment operated by American pilots and scientists. And the whole point of the American space program was to beat the Russians, not to advance the human spirit or whatever. The entire enterprise, from start to finish, was an exercise in American nationalism.
Besides, even if they had planted an “Earth flag” the people complaining now would be complaining about something else. They’d complain that the astronauts were wearing American flag patches on their suits, or they’d complain that they hadn’t invited a Russian cosmonaut to participate in the mission, or that they launched the rocket from American soil rather than from some “neutral” location.
Never give in to professional whiners. It only makes them whine louder and longer.
9.2k Views · View 1.5k Upvoters · View Sharers",Chris Bast,Why did they plant a U.S. flag and not an Earth flag on the moon?,The Cold War
