,answer,author,question,topic
0,"Min Yoongi (Suga) of BTS’s backstory in particular is one of hardship, depression, and pain. He was born in Daegu, South Korea, into a poor family. Growing up, he was a good student in school, but rather than paying attention in class, he spent his time writing lyrics on scraps of paper instead as a means of pursuing his passion for music. He did mention that he was inspired to make music after listening to “Epik High” which he heard in sixth grade.
However, when his parents found out about this, they were more than angry. They threw away all of his lyrics and forced him to focus more on his studies. It was around the same time that Yoongi began developing an interest in basketball; he was extremely good at it and would play with the kids afterschool and on the weekends. There are several clips of Yoongi playing point guard and making three-pointers with accuracy.
But music was always his passion, and he continued producing despite his parents’ disapproval. At the age of 13, he began composing works and learned how to use MIDI by then. Because of the poor condition of his family, he was forced to work, but he decided to go to other places to sell his music on the streets. However, it was extremely hard to sell music, and Yoongi in both interviews and his music talks a lot about being scammed (people cheated him out of his money) for his music. One of the most heartbreaking lines he’s said was that when he tried to buy a $2 bowl of noodles, he didn’t have enough money to take the bus home; often times, he had to choose between eating and taking the bus and even more often, went hungry.
Yoongi became part of the underground rapper team known as D-Town (Daegu Town) and took on the name Gloss. An iconic rap of his goes by the title 518–062, which signifies the issue that Gwangju's area code is 062 and 518 is the date of Gwangju Democratization movement.
Around this same time, Yoongi auditioned for BigHit’s “Hit It!” audition. After auditioning, he placed 2nd out of all the rappers, and landed a spot as a trainee. He was eventually approached by Bang PD-nim himself, who promised Yoongi he would be in a rapper group with little to no choreography and heavy emphasis on his producing ability. Yoongi accepted, and he was then introduced to Namjoon. From that day, he and Namjoon have lived together (they’ve lived together the longest out of everyone in Bangtan), and they began waiting for the rest of the members.
While as a trainee, however, Yoongi began working as a newspaper delivery boy. When delivering papers, however, he was struck by a car in a hit-and-run accident which completely damaged his shoulder. Rather than telling anyone, he kept the secret to himself and fought through the pain as he practiced as a trainee under BigHit, afraid that if he told them that he would lose his career with them. To this day, Yoongi does not have full motion in that shoulder and he no longer is able to b-boy (special type of freestyle dance) because of it.
As a result, Yoongi began developing mental health concerns. He developed severe depression and social anxiety which still affects him to this day. In his song “The Last” in his Agust D album, he talks about his mental disorders which were severe enough to lead him to see a psychiatrist, and implied in the same song that he has thought about suicide (the beeping noise right before it turns to him rapping about how he’s okay now). During the HYYH era, Yoongi’s social anxiety got to him, and BTS was forced to cancel a concert because Yoongi was unable to perform. Two days later, he posted a long and emotional self-reflection about himself (transcript link below):
160110 Suga’s Tweets
Today, Yoongi is a rapper, a Korean Copyright Music Association recognized producer, one of the most outspoken Korean idols about LGBT rights and mental illness, two extremely taboo topics in South Korea, and of course, one of the seven members in BTS, arguably the world’s biggest boy band at the moment. All of his lyrics are extremely reflective of himself and society, and he isn’t afraid to talk about society-consciousness issues. He has extremely thought-provoking lyrics and quotes which continue to prove the beauty Yoongi brings to the world. Furthermore, Yoongi continues to inspire people all around the world, and continues turning people’s lives around, especially those who are also fighting depression and mental illness. Some of his best works (in my opinion in terms of lyrics) include:
•The Last (Agust D)
•Tomorrow (BTS)
•So Far Away (Agust D)
•Intro: Never Mind (BTS)
•Intro: The Most Beautiful Moment in Life (BTS)
•First Love (BTS)
•Agust D (Agust D)
Yoongi’s early life has been filled with pain and hardship, but right now, he has well-deservedly reaped the rewards for his pain. Min Yoongi continues to be one of the most respected members in this community and is one of my biggest role models. I really hope that this inspires those reading it of the man he is, and appreciate and respect him as much as I do.
Thank you for everything, Min Yoongi.
Follow me on Instagram: BTS ⁜ 방탄소년단 ⁜ DDAENG (@intro.youngforever) • Instagram photos and videos for more!
46.8k Views · View 735 Upvoters · View Sharers · Not for Reproduction",Kim Seokjinnie,What Kpop member has a dark past?,K-Pop Artists and Groups
1,"Ok so, as a Korean myself, I’ve tried to analyze what made BTS so popular worldwide unlike so many other K-Pop groups. At a glance, some might be confused as to what the difference is. Yet from my analysis (and this is something subjective, I’m not saying I’m 100% right), BTS is a lot more dynamic than most groups. After watching a BTS music video, I watched a Wanna One (heard of it?) music video and realized that compared to BTS, Wanna One was way too bland. It was cliche, there was nothing new about it at all. I don’t know if it’s because of BTS’s name (translated: Bulletproof Boys), but they have a certain explosive or even aggressive vibe that’s only been seen so far in Big Bang or maybe EXO. Also, while other groups might be too “Korean” per se, BTS seems to be “Asian”. Only one or two of the members give off a Korean vibe. (And yes, a Korean can tell apart a Korean vibe from a Chinese,Japanese,etc. vibe. Same applies for all Asians. To the Europeans out there, it’s like how you can tell apart Dutch from German from French) Some members give off a Chinese vibe, others Japanese, and you’ll notice that BTS’s popularity in Asia as well is unprecedented. Finally, I think BTS actually has a “manly” feel to it. While a lot of other groups come off as slightly effeminate, BTS has a testosterone, powerful image to it that really sets it off with a bang.
P.S. A lot of boy bands in K-Pop thrive on their gorgeous looks, but not really talent in dance or music. Some only live on their looks and their dance talent, and especially lack really good rappers. BTS’s rapper has a really great growl and delivery that other K-Pop groups don’t have, they’re good looking, good at dancing, and singing. Some might say they’re the best K-pop group by far
72.5k Views · View 1.1k Upvoters · View Sharers",JH Pae,"Why can BTS be popular in the US, while many K-pop acts before them fail to do so?",K-Pop Artists and Groups
2,"First of all, it’s “naega (내가)”, which means ‘I’. For ‘you’ it’s “nega (네가)”. So no, it’s not a slur, even by ear unless heard by a non-native speaker.
It’s a part of their native language. What do you want them to do? Suddenly stop using “I” and “You” all of a sudden just to satisfy the English language? Don’t be ignorant. It shouldn’t even be anyone’s opinion whether they should or should not keep the words. It’s another language. Either you suck it up and accept language barriers or continue to be one of those ignorant people that think the world revolves around English. Yes, it’s one of the most popular languages in the world, but it isn’t the only language in the world. So no, as a matter of fact, Koreans should not change their language around just to satisfy English speakers.
20.1k Views · View 1.4k Upvoters · View Sharers",Mara Isabel Santos,"Should k-pop singers stop using the word ""niga"" in their songs? I understand ""niga"" is a Korean word, but it sounds like the n-word.",K-Pop Artists and Groups
3,"This is my opinion, so don’t get upset over what I write.
Anyway, let’s see what overrated means. It means to have a higher opinion of someone or something than is deserved. Ok, now we’ll get on to the actual question knowing what overrated means and not assuming that it means anything worse or better.
#1: Definitely BLACKPINK.
Don’t get me wrong, I am a BLINK. I have been since their debut. I bought their lightstick and album and support them. The reason I am a BLINK is because I love the members. They are super funny and kind, and they have a great bond. I mean, they’ve been training together for 4+ years. Here’s the problem. They are not the only OR first to do a girl crush concept. A whole lot of BLINKs (of course not me) say, “blackpink is the best, blackpink is revolutionary- “ NO. Just stop. They are neither the best or revolutionary. And what is with their company? Of course I know this isn’t blackpink’s fault, but blackpink is super underworked. While TWICE was on music shows promoting their songs every three months, BLACKPINK was living in a pretty pink house watching TV or doing that kind of stuff. That’s not the girls’ fault but honestly there needs to be some kind of work going on that’s not staying in a house for a show. My next point. BLACKPINK is definitely mainstream. They release dance songs and tbh they sound pretty similar by now! Groups like BTS, Seventeen, who produce their own songs or at least contribute don’t have songs that sound similar. I understand that YG is a much bigger company than Big Hit or Pledis, but there is really no correlation between that because YG artists such as GD produce their own music. Anyway, this is MY opinion, so don’t hate me for it.
#2: EXO.
Ok. I will admit that I don’t really like EXO that much. I will do everything in my power to make this as unbiased as possible ;) The first reason I think EXO is overrated is because their songs are really mainstream and meaningless. The lyrics are about love, breakups, etc. Most of their songs are a skip for me just cause they sound similar. I understand that they don’t produce their own songs but again, as I said earlier, it makes the songs sound similar and repetitive. I don’t have much more to go on about them because I don’t really know EXO that well~I hope EXO-Ls don’t get too offended and same for BLINKs. And I know how hard they have worked until now, especially because a few members left, but yeah these are my reasons.
#3: Wanna One.
I put them in with a lot of hesitation. Yes, I know they worked EXTREMELY hard to get to where they are right now, but Wanna One is just a no for me. I watched all of Produce 101 season 2 and even voted as I am a Korean and live in Korea. It is hard for me to say this because I witnessed them struggling and training to debut. Honestly, I had high hopes for them because they have potential and are talented, but I was really disappointed with Energetic, Beautiful, Boomerang, Light, etc. It just got worse and worse and eventually I stopped listening to their song. Second, after their controversy, I was surprised. I thought they wouldn’t be much different from their on-camera personas, but wow was I surprised when they showed this immature, rude side to them. It certainly gave me a bad image of them.
-end of answering the question but there’s more-
You might be wondering, where’s BTS and TWICE? First BTS. They give good QUALITY music and it doesn’t sound cringy or whatever. They deserve the fame they are getting right now because honestly i know everyone says this but they worked especially hard. Imagine living with 6 other friends in a tiny apartment. Imagine choosing between dinner and coming home. At least YG and SM provided these. And from what I’ve heard, most if not all of Wanna One had at least the money for basic necessities. BTS has lyrics that you can relate with that talk about their experiences, like insecurity and depression and topics that are considered taboo here. TWICE. Um, given the hate they’re getting they definitely do deserve to be more famous. Everyone says they’re overrated but they really aren’t. They are really hardworking and deserve more love based on the hate they’re getting. Thanks for reading.
44.4k Views · View 770 Upvoters · View Sharers",Han Hyejin,Who are the top 3 overrated K-pop groups?,K-Pop Artists and Groups
4,"I began listening to BTS earlier this year, and I quickly began infatuated. Not only with their music, but with their stories.
These guys have literally changed lives. They have saved their fans fro...
(more)",Annika Rose,Why is BTS so popular when it sucks?,K-Pop Artists and Groups
5,"None of them are men.
Min Yoongi
She's pretty sarcastic and she's a savage so watch out.
Jungkook
She's the maknae so I can easily say that she's one of the cutest.
Jin
She's the prettiest of them all and she knows it. Did I mention she's got the best legs in BTS? Yea, they make all of the other girls feel insecure.
Jimin
I've got one thing to say about her: she may be small but she's got a lot to offer.
Rap Monster
Don't get me started on this one…
J-hope
This one is the happiest in BTS, just make sure you don't piss her off or she will smack you with her sandals…
Last but not least
Taehyung
She's my favorite member of BTS and she's the most charming member.
All jokes aside, yes, all of them are men.
25.8k Views · View 1.1k Upvoters · View Sharers",Jasmin Serrano,Are the members of BTS men?,K-Pop Artists and Groups
6,"Yeah, I think BTS's popularity will die down. It won't be because of a lack of talent or quality music. There are some basic factors at play, though. Here are a few:
-The Korean pop music industry doesn't seem to build enduring careers. A lot of stress and restrictions are placed on the artists, which can be stifling to creativity. With male artists and groups, companies seem to be working to beat the military service clock - get them as much fame and exposure as possible before they have to go serve in the military. By the time they are done, things have changed. Their fanbases got older, so did they, maybe they want families or to pursue other things, or they're just tired. The KPop machine seems to overwork artists, and BigHit is definitely doing that with Bangtan. These men are gonna get tired eventually. They're gonna want lives. Families. Some freedom.
-BTS is getting worldwide recognition and really breaking into the US pop market, which is great, but the American pop industry doesn't build enduring careers either. BTS is being pushed extra hard because they are breaking new ground. They are legitimately paving the way for more K-artists to achieve broader success. That's amazing. Meanwhile, the American sensationalism culture around celebrities is hideous, and our most famous pop artists crash and burn all the time. Korean pop culture ain't much better - they just try to prevent the self-destruction of artists through higher levels of restriction and control. BTS is now susceptible to the nastiness of their own country AND the US. They're gaining more haters as they gain more fans, and they're under even more scrutiny. Spoiler alert: this is counter-intuitive to healthy life, period. Nobody is supposed to live like this. Suicide rates among celebs in both SK and US are pretty high because of it. My guess is that at some point they're gonna NEED to pull back from the public eye for their own sanity, and when that time comes, I sincerely hope they choose to take care of themselves first.
-Their fanbase is young. Young people grow up and their tastes change. As a high school teacher, I am anticipating a wave of kids a few years from now reminiscing about their “BTS phase.” My 11-year-old daughter, who introduced me to BTS and loves them dearly, is more into Panic at the Disco these days. It is what it is.
-The members are young. Young people grow up and their tastes change. This pop thing isn't really designed to be done forever. These boys have other talents and interests, and may wanna pursue other stuff. Taehyung loves acting and visual art, and his true musical passion is jazz. Yoongi almost left BTS early on because he has desired a serious hip-hop career from the jump, and while Bangtan is awesome they are NOT a hip-hop group. Both Yoongi and Namjoon found a passion for producing, and I could see Namjoon doing activism work in the future. Jin is a business owner with a passion for food. Jungkook is a budding filmmaker. Hoseok and Jimin are both amazing dancers who could easily take it to the professional level, open their own studios, train idol trainees, choreograph. BTS is not the sum of these guys' life's work. They've got much more inside them that I hope the world gets to see.
So yeah, the popularity of BTS will not last forever. But I think their message, impact, and legacy will last a long time. They've touched a lot of lives, saved a lot of lives, and that matters more than hit songs and record sales. I hope they get a chance to follow their other dreams and live full, happy lives.
54.9k Views · View 1k Upvoters · View Sharers",Mia W,Will BTS’s popularity fall?,K-Pop Artists and Groups
7,"Oh my goodness, it must be because they had a lovers' quarrel or they're fed up with fan fiction and shipping, yes?
NO! Let me say that again, NO! NO! NO! Big Hit has not ordered them to stay away from each other, managers are not keeping them apart.
Taehyung just lost his grandfather. This was the man who gave him his name and raised him. This was the man who fed him and loved him. This was the man he loved. His grandfather died in the middle of a tour, a tour that he had worked towards for years. He went home, said goodbye to one of the father figures in his life and then had to immediately join the tour again and pretend everything was just peachy. I mean he didn't have any choice, yes? How dare he put his feelings above everyone who purchased tickets to see him? How could he let down his members and grieve for the man who raised him so soon after losing the grandmother who raised him?
Jungkook has had accidents on this tour. It's taken a toll on his body. Also, and I am relaying information given by my colleagues, the MGA performance with Charlie Puth was a disaster. There were issues backstage, there were issues with sound and music, there were issues with the stage. Jungkook felt he did not do his best and disappointed fans. It was made worse watching his members struggle on a song they've sung dozens of times. There may have even been disappointment with Charlie himself. He's also not obligated to act like a giddy school boy when girl groups are performing. More than likely he was sitting there agonising over what a mess the night had been.
Lastly they've been touring for months. Sleeping in vans, planes, hotels. Eating hotel food. Not being close to their loved ones and friends. They're TIRED. They're tired and they start the tour up again in 3 days. They don't like to disappoint their fans.
21.7k Views · View 353 Upvoters · View Sharers",Ming Sang,Why do BTS seem so distant and really muted around each other now? Why are Jungkook and Taehyung seem so serious around each other now? What happened between the group?,K-Pop Artists and Groups
8,"Haha He makes me cringe too!
I mean, his voice is just so not amazing.
and he doesn’t even care about ARMY.
His infamous windshield laugh doesn’t even make me laugh.
He doesn’t care about the other members.
and he totally shouldn’t be visual of the group.
If y’all didn’t realise I’m just kidding. He is an amazing and incredibly hard working person! I love him so much and he does not deserve to be titled as cringy.
Edit: Ahh~ Thank you guys so much for all the upvotes and support!
38.5k Views · View 1.3k Upvoters · View Sharers",Alice Liddell,Why does Jin from BTS make me cringe?,K-Pop Artists and Groups
9,"Jimin doesn’t like mangos
Jimin is considered the most perverted member
Jungkook is apparently afraid of microwaves
Namjoon has a funny way of pronouncing “vacuum”
Whenever Jimin is drunk, he acts all cute and fluffy uwu
bonus: He also sometimes speaks in third person and calls himself Diminie
Hoseok has low tolerance. Basically whenever he gets drunk his face gets all red and he kinda just sits there, zoning out a lot.
Yoongi seems to understand English in American interviews, but either has trouble speaking it or is embarrassed about the way he speaks (either because of his accent or his pronunciation I’m not sure), because he doesn’t speak English in American interviews
Seokjin cooks most of the time for members, but Yoongi can cook too
Hoseok and Jungkook love churros
Jimin is the only member who can do a full split (right, left, and middle split)
Namjoon said if he didn’t live in Korea he would want to live in Australia
Taehyung once made up a day on their tour and called it International Hug Day, and gave a hug to all the members
Jungkook once said that Taehyung put kiwis on the egg shelf and Seokjin screamed because he thought the eggs have grown fur
Hoseok and Seokjin are the two members that get scared the easiest
Seokjin’s favorite hair color on himself is pink
Jungkook looooves dogs
Taehyung has very nice, delicate hands
FAKE LOVE was originally going to be more depressing and have more of a negative tone to it, and Namjoon said that they moved up 6 1/2 pitches (which is the FAKE LOVE you hear now), and the rap line had a difficult time adjusting to that pitch.
Spring Day, Magic Shop, 134340, and FAKE LOVE are a few songs that seem to have the most even amount of lines distributed (not counting live performances).
26k Views · View 633 Upvoters · View Sharers",Paris,What are some pretty random facts about BTS?,K-Pop Artists and Groups
10,"Okay so, I’m both a Blink and a ReVeluv, but I have to say I prefer Red Velvet.
But let’s break it down into categories…
First of all: music
I like BlackPink songs but up to certain extent (with the exception of Stay) their songs are very similar, with a similar beat, structures, division, etc. And I know they were all produced by Teddy, but I would like to see more of what they can do in different styles, the lack of songs is also something that limit they’re ability to try different concepts.
On the other hand, Red Velvet songs each one sounds very different from each other, and are very innovative on the song structures. Even though they are different I end up liking their songs.
So for me, this point goes to Red Velvet
Second: Dancing
So for me, here is a tie.
(I have to first mention that the hability to freestyle is not what defines a good dancer)
BlackPink dances are very strong which gives them a powerful vibe on the scene.
Red Velvet has tried different styles of dancing which include strong, mix of contemporary, etc.
BUT, the style of dancing doesn’t define how difficult a dance is. For example, In BlackPink, there’s Bommbayah, which is difficult to perform, but there’s also Forever Young, which is pretty easy to perform. And in Red Velvet, there’s Dumb Dumb, which believe it or not, is difficult to pull of, but there’s also Bad Boy, which is not that difficult to dance to.
Taking into considerations other stages (such as dance performances) they all have been part of, I can say that there’s actually not a better group in dancing, and their skills in dancing are similar. Once again…the style of dancing does not define how difficult a dance is.
Vocal
So, in this case I have to go for Red Velvet. Even though, Blackpink have nice voices, they have a not that good technique, constantly straining their voices. On the other hand, Red Velvet have a great vocal technique.
Rap
I have to go with BlackPink here, even though I like Irene and Yeri, they are not the best rapers. BlackPink’s Lisa and Jennie slay in rap.
And Finally: Concept
Red Velvet change their concept every comeback and they are extremely fit on each one. They can be cute, fierce, playful and killer witches all in once. I like the girl crush concept but, BlackPink usually repeats it, after two years I still like it, but I do prefer Red Velvet concepts way better.
So, in my perspective, I prefer Red Velvet. But I consider they are all talented and great in what they do :)
502 Views · View 14 Upvoters · Answer requested by
Jalen Lee",Ann Cassey,Which do you prefer Blackpink or Red Velvet?,K-Pop Artists and Groups
